domain,problem,instance_id,algo_variant,budget,target,successes,trials,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
cont,Ackley,8,ES_1P1,20000,hard,27,30,0.875,0.7684970248566316,0.9546998269773581,0.1869765352688558,4.605205106145149e-13,1.851852005074761e-13,2.3168487918475873
cont,Ackley,8,FA,200,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.953664989421307,4.91748020386653,3.5439983870730107,6.860559584020898
cont,Ackley,8,FA,200,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.953664989421307,4.91748020386653,3.5439983870730107,6.860559584020898
cont,Ackley,8,FA,200,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.953664989421307,4.91748020386653,3.5439983870730107,6.860559584020898
cont,Ackley,8,FA,300,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.419168037110534,4.234590540775226,3.4777142505575083,5.701519639928204
cont,Ackley,8,FA,300,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.419168037110534,4.234590540775226,3.4777142505575083,5.701519639928204
cont,Ackley,8,FA,300,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.419168037110534,4.234590540775226,3.4777142505575083,5.701519639928204
cont,Ackley,8,FA,500,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.349623323458344,4.425988134227401,2.0972077315517166,5.916332434926456
cont,Ackley,8,FA,500,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.349623323458344,4.425988134227401,2.0972077315517166,5.916332434926456
cont,Ackley,8,FA,500,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.349623323458344,4.425988134227401,2.0972077315517166,5.916332434926456
cont,Ackley,8,FA,800,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.874154855252496,3.87887002249922,2.429203777654948,4.857885529077972
cont,Ackley,8,FA,800,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.874154855252496,3.87887002249922,2.429203777654948,4.857885529077972
cont,Ackley,8,FA,800,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.874154855252496,3.87887002249922,2.429203777654948,4.857885529077972
cont,Ackley,8,FA,1000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.7530072161464516,3.743652822146116,2.901445521025068,4.644325229091653
cont,Ackley,8,FA,1000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.7530072161464516,3.743652822146116,2.901445521025068,4.644325229091653
cont,Ackley,8,FA,1000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.7530072161464516,3.743652822146116,2.901445521025068,4.644325229091653
cont,Ackley,8,FA,1500,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,3.6849675819818795,3.6696371783922026,2.636388161828983,4.345767534923173
