algo_variant,target,budget,beta_mean,beta_lo,beta_hi,value_score,value_lo,value_hi
GWO,hard,1000,0.2332099999999997,0.21916666666666665,0.24833333333333332,0.9894186919814941,0.9739736517180131,0.9993599274781831
GWO,med,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.8777122249465981,0.8649546588224741,0.8910027193956771
GWO,med,500,0.09004166666666752,0.0858333333333333,0.09499999999999996,0.9550730725920794,0.9333023309985247,0.9738068761120324
GWO,med,800,0.12077083333333329,0.10833333333333331,0.1358333333333333,0.9895549736088434,0.9768077370845956,0.9987399579560272
GWO,med,1000,0.13337249999999964,0.12166666666666663,0.14583333333333331,0.9894186919814941,0.9739736517180131,0.9993599274781831
MFO,easy,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.6362488576658425,0.6277606248537186,0.64460232047029
MFO,easy,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7213857583931637,0.7142456960835888,0.728969564660097
MFO,easy,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7605883337410032,0.7521017137721836,0.7684780242298499
MFO,easy,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7701780561559425,0.7617523866229265,0.7786825389197574
MFO,hard,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.6362488576658425,0.6277606248537186,0.64460232047029
MFO,hard,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7213857583931637,0.7142456960835888,0.728969564660097
MFO,hard,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7605883337410032,0.7521017137721836,0.7684780242298499
MFO,hard,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7701780561559425,0.7617523866229265,0.7786825389197574
MFO,med,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.6362488576658425,0.6277606248537186,0.64460232047029
MFO,med,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7213857583931637,0.7142456960835888,0.728969564660097
MFO,med,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7605883337410032,0.7521017137721836,0.7684780242298499
MFO,med,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7701780561559425,0.7617523866229265,0.7786825389197574
WOA,easy,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7310531543379136,0.7228890274660782,0.7397301504876383
WOA,easy,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.8406722555018489,0.8339798708862065,0.847792255431232
WOA,easy,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.8957206214995805,0.8892223371467507,0.9026966453501032
WOA,easy,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.9276198545613287,0.9210497040695298,0.9342101262429385
WOA,hard,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7310531543379136,0.7228890274660782,0.7397301504876383
WOA,hard,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.8406722555018489,0.8339798708862065,0.847792255431232
WOA,hard,800,0.09252166666666721,0.08916666666666663,0.0958333333333333,0.8957206214995805,0.8892223371467507,0.9026966453501032
WOA,hard,1000,0.11890583333333354,0.10999999999999996,0.1283333333333333,0.9276198545613287,0.9210497040695298,0.9342101262429385
WOA,med,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.7310531543379136,0.7228890274660782,0.7397301504876383
WOA,med,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.8406722555018489,0.8339798708862065,0.847792255431232
WOA,med,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.8957206214995805,0.8892223371467507,0.9026966453501032
WOA,med,1000,0.08415916666666612,0.0833333333333333,0.0858333333333333,0.9276198545613287,0.9210497040695298,0.9342101262429385
