instance_id,problem,domain,budget,target,algo_variant,algo_base,run_idx,best,success,evals
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,7,15.312808688945822,1,480
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,8,29.957404110945493,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,9,18.49298859827657,1,480
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,10,21.724927790903354,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,11,21.95678136969652,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,12,22.1978721210453,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,13,27.873542825968034,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,14,17.36524254416578,1,480
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,15,23.889059786238082,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,16,24.05246945162779,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,17,19.360618596432,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,18,32.57478684622703,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,19,43.210339044942536,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,20,19.110562889525667,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,21,36.41995593988903,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,22,26.86944560554366,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,23,19.340081979646605,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,24,26.073199947520852,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,25,18.731225589084136,1,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,26,16.3719465877767,1,440
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,27,27.050260051954055,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,28,28.617991958894358,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,29,22.55209260648602,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,0,25.47522377796272,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,1,31.677416132615754,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,2,17.591030203866428,1,480
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,3,41.384518156848486,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,4,29.496733180402128,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,5,32.5744090207116,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,6,31.137426755757254,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,7,24.669980560600717,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,8,32.07823941107694,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,9,39.5068964616189,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,10,25.698464658537183,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,11,21.981999026953957,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,12,40.42864635771944,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,13,43.28748232127953,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,14,26.29318658875141,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,15,27.01387448799329,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,16,26.996530587847545,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,17,41.337844343722765,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,18,22.279059264763614,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,19,14.301509967925075,1,460
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,20,40.48608847499593,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,21,30.493750328927348,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,22,32.80648877140364,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,23,27.206567181581672,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,24,48.774723305610415,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,25,23.27069627391608,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,26,32.44472775972429,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,27,40.05676367479517,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,28,26.107389475849835,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,29,51.89931395946381,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,0,37.015183206707675,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,1,51.97285262141625,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,2,53.00505552266399,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,3,42.81613353214647,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,4,40.86540804527505,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,5,48.458183613035885,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,6,43.18443552067718,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,7,53.6088281709059,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,8,42.12916918100312,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,9,45.897763974256186,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,10,57.172177019637004,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,11,42.7215082880129,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,12,58.12748280727167,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,13,42.463241460252156,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,14,56.20685374902402,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,15,60.16463696116989,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,16,31.559475397465974,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,17,48.62917005730593,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,18,36.10432786318797,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,19,72.94745044482576,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,20,33.8549404183553,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,21,34.93787287840202,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,22,23.393613955481275,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,23,28.772262877718788,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,24,50.855002550486915,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,25,43.73814465702546,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,26,48.36579066179661,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,27,48.39544361000568,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,28,44.33236365950958,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",PSO_RING,29,53.40970844067421,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"DE(pop=20,F=0.8,CR=0.9)",DE,0,53.556385789426905,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"DE(pop=20,F=0.8,CR=0.9)",DE,1,87.99322530229405,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"DE(pop=20,F=0.8,CR=0.9)",DE,2,51.86279922256247,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"DE(pop=20,F=0.8,CR=0.9)",DE,3,67.14130209667525,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"DE(pop=20,F=0.8,CR=0.9)",DE,4,47.29166979784418,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"DE(pop=20,F=0.8,CR=0.9)",DE,5,42.14299327781201,0,500
