algo,rung,score,seconds,params_json,pop,beta0,gamma_scale,alpha_scale,k_neighbors
FA,rung1,-0.10861714621834828,5.278433561325073,"{""alpha_scale"": 0.0010728080663175937, ""beta0"": 0.7321450074012499, ""gamma_scale"": 14.320259321258337, ""k_neighbors"": 6, ""pop"": 42}",42,0.7321450074012499,14.320259321258337,0.0010728080663175937,6
FA,rung1,0.018874829079469913,6.808081865310669,"{""alpha_scale"": 0.1833493878058782, ""beta0"": 1.0777818584135206, ""gamma_scale"": 1.9819751406935897, ""k_neighbors"": 9, ""pop"": 30}",30,1.0777818584135206,1.9819751406935897,0.1833493878058782,9
FA,rung1,0.07775045935019986,4.714578866958618,"{""alpha_scale"": 0.03107370263140082, ""beta0"": 1.4811059875556585, ""gamma_scale"": 0.06301516811760723, ""k_neighbors"": 6, ""pop"": 78}",78,1.4811059875556585,0.06301516811760723,0.03107370263140082,6
FA,rung1,0.23980399363343868,7.189740896224976,"{""alpha_scale"": 0.0013680803381479728, ""beta0"": 1.7878597720098133, ""gamma_scale"": 3.130133847204731, ""k_neighbors"": 10, ""pop"": 31}",31,1.7878597720098133,3.130133847204731,0.0013680803381479728,10
FA,rung1,0.10072791655353414,5.786899566650391,"{""alpha_scale"": 0.011875471489476415, ""beta0"": 2.1319126052365536, ""gamma_scale"": 0.1681788566549863, ""k_neighbors"": 7, ""pop"": 36}",36,2.1319126052365536,0.1681788566549863,0.011875471489476415,7
FA,rung1,0.29717472410253165,2.330767869949341,"{""alpha_scale"": 0.021693644283810896, ""beta0"": 2.273829458090364, ""gamma_scale"": 2.589256461121295, ""k_neighbors"": 1, ""pop"": 57}",57,2.273829458090364,2.589256461121295,0.021693644283810896,1
FA,rung1,0.5929382728991044,4.821575403213501,"{""alpha_scale"": 0.01090242027845519, ""beta0"": 0.809140683944104, ""gamma_scale"": 0.10146700594704346, ""k_neighbors"": 5, ""pop"": 30}",30,0.809140683944104,0.10146700594704346,0.01090242027845519,5
FA,rung1,0.5196143739280619,3.3991165161132812,"{""alpha_scale"": 0.0379556235431132, ""beta0"": 0.4300160700069081, ""gamma_scale"": 0.18190128823370388, ""k_neighbors"": 3, ""pop"": 61}",61,0.4300160700069081,0.18190128823370388,0.0379556235431132,3
FA,rung1,-0.14171581969408803,5.647628307342529,"{""alpha_scale"": 0.0032734663396803243, ""beta0"": 1.5842511304081268, ""gamma_scale"": 10.25703624036108, ""k_neighbors"": 7, ""pop"": 21}",21,1.5842511304081268,10.25703624036108,0.0032734663396803243,7
FA,rung1,-0.04775362361538027,6.237732172012329,"{""alpha_scale"": 0.16798247671319266, ""beta0"": 2.0226644333767516, ""gamma_scale"": 0.08104697176379369, ""k_neighbors"": 8, ""pop"": 52}",52,2.0226644333767516,0.08104697176379369,0.16798247671319266,8
FA,rung1,-0.020257752282784758,4.532169342041016,"{""alpha_scale"": 0.1588664639864079, ""beta0"": 1.410193717467154, ""gamma_scale"": 11.509879656319303, ""k_neighbors"": 5, ""pop"": 73}",73,1.410193717467154,11.509879656319303,0.1588664639864079,5
FA,rung1,0.3131171218740325,6.080431938171387,"{""alpha_scale"": 0.01609928539943818, ""beta0"": 0.9247649098243491, ""gamma_scale"": 4.658055687829516, ""k_neighbors"": 8, ""pop"": 22}",22,0.9247649098243491,4.658055687829516,0.01609928539943818,8
FA,rung1,-0.02191946174192072,3.379035234451294,"{""alpha_scale"": 0.021307666294258478, ""beta0"": 1.9296602671295824, ""gamma_scale"": 11.243226267545547, ""k_neighbors"": 3, ""pop"": 72}",72,1.9296602671295824,11.243226267545547,0.021307666294258478,3
FA,rung1,0.19695933578843777,3.7339632511138916,"{""alpha_scale"": 0.0019777841296248068, ""beta0"": 1.793324530726192, ""gamma_scale"": 0.5169695955763314, ""k_neighbors"": 3, ""pop"": 20}",20,1.793324530726192,0.5169695955763314,0.0019777841296248068,3
FA,rung1,0.0024683095907520047,6.119732618331909,"{""alpha_scale"": 0.04914529687895505, ""beta0"": 1.2294845736289512, ""gamma_scale"": 22.639612455978686, ""k_neighbors"": 9, ""pop"": 78}",78,1.2294845736289512,22.639612455978686,0.04914529687895505,9
FA,rung1,0.2790635937066477,6.2335898876190186,"{""alpha_scale"": 0.0013712936467485746, ""beta0"": 0.5730260336132607, ""gamma_scale"": 0.24895274111936797, ""k_neighbors"": 8, ""pop"": 43}",43,0.5730260336132607,0.24895274111936797,0.0013712936467485746,8
FA,rung1,-0.09041965911529731,2.2511255741119385,"{""alpha_scale"": 0.013578651656437837, ""beta0"": 0.5404705950318782, ""gamma_scale"": 14.57547247090316, ""k_neighbors"": 1, ""pop"": 61}",61,0.5404705950318782,14.57547247090316,0.013578651656437837,1
FA,rung1,-0.012482106311017538,7.529465913772583,"{""alpha_scale"": 0.07186762167472752, ""beta0"": 0.6169580862139139, ""gamma_scale"": 38.4055979548251, ""k_neighbors"": 5, ""pop"": 61}",61,0.6169580862139139,38.4055979548251,0.07186762167472752,5
FA,rung1,0.07129901709530356,5.86495041847229,"{""alpha_scale"": 0.06059476088662123, ""beta0"": 2.472840513958634, ""gamma_scale"": 8.014361103754421, ""k_neighbors"": 3, ""pop"": 27}",27,2.472840513958634,8.014361103754421,0.06059476088662123,3
FA,rung1,-0.08946023546457332,4.6738269329071045,"{""alpha_scale"": 0.04630383372585626, ""beta0"": 2.1209550398684107, ""gamma_scale"": 0.041112162159603755, ""k_neighbors"": 2, ""pop"": 57}",57,2.1209550398684107,0.041112162159603755,0.04630383372585626,2
FA,rung1,-0.011672769412079287,3.7051663398742676,"{""alpha_scale"": 0.13975005934140897, ""beta0"": 1.0545677275515006, ""gamma_scale"": 33.84384065430639, ""k_neighbors"": 1, ""pop"": 55}",55,1.0545677275515006,33.84384065430639,0.13975005934140897,1
FA,rung1,0.20662299711007964,7.554492473602295,"{""alpha_scale"": 0.0057539074373559275, ""beta0"": 1.7223484070514914, ""gamma_scale"": 0.17425132569091212, ""k_neighbors"": 6, ""pop"": 23}",23,1.7223484070514914,0.17425132569091212,0.0057539074373559275,6
FA,rung1,0.32191344136211963,12.329982280731201,"{""alpha_scale"": 0.002588592827907583, ""beta0"": 2.3128070988526725, ""gamma_scale"": 2.7610747056882103, ""k_neighbors"": 10, ""pop"": 51}",51,2.3128070988526725,2.7610747056882103,0.002588592827907583,10
FA,rung1,-0.06155214957020749,9.282926082611084,"{""alpha_scale"": 0.011098381741402874, ""beta0"": 2.0647063763170608, ""gamma_scale"": 0.05034481547607907, ""k_neighbors"": 6, ""pop"": 45}",45,2.0647063763170608,0.05034481547607907,0.011098381741402874,6
FA,rung1,-0.05242059417605599,13.69591212272644,"{""alpha_scale"": 0.2601878276830359, ""beta0"": 2.4888869211580564, ""gamma_scale"": 4.939214668724808, ""k_neighbors"": 10, ""pop"": 35}",35,2.4888869211580564,4.939214668724808,0.2601878276830359,10
FA,rung1,-0.1286761533728788,4.861945152282715,"{""alpha_scale"": 0.013577406178118187, ""beta0"": 2.46707623615786, ""gamma_scale"": 10.926488011626695, ""k_neighbors"": 2, ""pop"": 41}",41,2.46707623615786,10.926488011626695,0.013577406178118187,2
FA,rung1,-0.12084630110127698,13.187334775924683,"{""alpha_scale"": 0.0033626491544749624, ""beta0"": 0.9857265460282427, ""gamma_scale"": 46.72538040238397, ""k_neighbors"": 10, ""pop"": 42}",42,0.9857265460282427,46.72538040238397,0.0033626491544749624,10
FA,rung1,0.48866640347076895,9.692307472229004,"{""alpha_scale"": 0.048466192388668, ""beta0"": 1.274650252712348, ""gamma_scale"": 2.7188766638333113, ""k_neighbors"": 5, ""pop"": 37}",37,1.274650252712348,2.7188766638333113,0.048466192388668,5
FA,rung1,0.27360437872216586,12.318947792053223,"{""alpha_scale"": 0.0037132620619284434, ""beta0"": 1.1908327735136515, ""gamma_scale"": 2.596830669624012, ""k_neighbors"": 8, ""pop"": 42}",42,1.1908327735136515,2.596830669624012,0.0037132620619284434,8
FA,rung1,-0.05647808822816974,12.588040590286255,"{""alpha_scale"": 0.18470476945767883, ""beta0"": 2.190047056899372, ""gamma_scale"": 0.013715775232803373, ""k_neighbors"": 8, ""pop"": 62}",62,2.190047056899372,0.013715775232803373,0.18470476945767883,8
FA,rung1,0.26792412733675447,12.91789436340332,"{""alpha_scale"": 0.12250549865893225, ""beta0"": 0.9570480687900593, ""gamma_scale"": 0.03131047402321976, ""k_neighbors"": 9, ""pop"": 53}",53,0.9570480687900593,0.03131047402321976,0.12250549865893225,9
FA,rung1,0.3117120475446743,7.215920925140381,"{""alpha_scale"": 0.003845071420633596, ""beta0"": 0.20848103347310887, ""gamma_scale"": 0.046998573880269984, ""k_neighbors"": 2, ""pop"": 63}",63,0.20848103347310887,0.046998573880269984,0.003845071420633596,2
FA,rung1,-0.05302421382599337,11.086768865585327,"{""alpha_scale"": 0.22454569261414167, ""beta0"": 1.7741084904897313, ""gamma_scale"": 0.02578435703962645, ""k_neighbors"": 2, ""pop"": 32}",32,1.7741084904897313,0.02578435703962645,0.22454569261414167,2
FA,rung1,0.267003256845855,19.989698886871338,"{""alpha_scale"": 0.026359421305609854, ""beta0"": 1.6087744989629102, ""gamma_scale"": 0.5317746547635357, ""k_neighbors"": 8, ""pop"": 75}",75,1.6087744989629102,0.5317746547635357,0.026359421305609854,8
FA,rung1,0.03511730144583686,22.75796413421631,"{""alpha_scale"": 0.007087684790395929, ""beta0"": 1.0856360874442457, ""gamma_scale"": 0.03428422417059823, ""k_neighbors"": 9, ""pop"": 32}",32,1.0856360874442457,0.03428422417059823,0.007087684790395929,9
FA,rung1,0.26759399636357395,8.684475660324097,"{""alpha_scale"": 0.0017612386287280983, ""beta0"": 1.7675444990655547, ""gamma_scale"": 4.177742912470907, ""k_neighbors"": 5, ""pop"": 56}",56,1.7675444990655547,4.177742912470907,0.0017612386287280983,5
