domain,problem,instance_id,algo_variant,budget,target,successes,trials,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
cont,Rosenbrock,5,ES_MULAMBDA,2000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,75.55070090644321,73.86905946085736,21.060856178059225,156.61933758243953
cont,Rosenbrock,5,ES_MULAMBDA,2000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,75.55070090644321,73.86905946085736,21.060856178059225,156.61933758243953
cont,Rosenbrock,5,ES_MULAMBDA,3500,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,30.418827121161815,27.50154000955811,7.218013300798411,65.15134364655145
cont,Rosenbrock,5,ES_MULAMBDA,3500,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,30.418827121161815,27.50154000955811,7.218013300798411,65.15134364655145
cont,Rosenbrock,5,ES_MULAMBDA,3500,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,30.418827121161815,27.50154000955811,7.218013300798411,65.15134364655145
cont,Rosenbrock,5,ES_MULAMBDA,5000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,14.819028238509638,14.883340359222263,5.371449929323885,28.41593805273762
cont,Rosenbrock,5,ES_MULAMBDA,5000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,14.819028238509638,14.883340359222263,5.371449929323885,28.41593805273762
cont,Rosenbrock,5,ES_MULAMBDA,5000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,14.819028238509638,14.883340359222263,5.371449929323885,28.41593805273762
cont,Rosenbrock,5,ES_MULAMBDA,8000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.479491626760567,4.12012562971905,2.426245086727178,7.51175933230595
cont,Rosenbrock,5,ES_MULAMBDA,8000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.479491626760567,4.12012562971905,2.426245086727178,7.51175933230595
cont,Rosenbrock,5,ES_MULAMBDA,8000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,4.479491626760567,4.12012562971905,2.426245086727178,7.51175933230595
cont,Rosenbrock,5,ES_MULAMBDA,12000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,1.8075604640569094,1.6694413134944175,0.5883267230044913,3.1016109723524723
cont,Rosenbrock,5,ES_MULAMBDA,12000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,1.8075604640569094,1.6694413134944175,0.5883267230044913,3.1016109723524723
cont,Rosenbrock,5,ES_MULAMBDA,12000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,1.8075604640569094,1.6694413134944175,0.5883267230044913,3.1016109723524723
cont,Rosenbrock,5,ES_MULAMBDA,15000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.8802995856481861,0.7944752396940851,0.1911528858632372,1.6107813950490373
cont,Rosenbrock,5,ES_MULAMBDA,15000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.8802995856481861,0.7944752396940851,0.1911528858632372,1.6107813950490373
cont,Rosenbrock,5,ES_MULAMBDA,15000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.8802995856481861,0.7944752396940851,0.1911528858632372,1.6107813950490373
cont,Rosenbrock,5,ES_MULAMBDA,20000,easy,2,30,0.09375,0.02690011969114915,0.18946446742553866,0.23270556528348404,0.23188331741643833,0.07092765176111626,0.46252063771479135
cont,Rosenbrock,5,ES_MULAMBDA,20000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.23270556528348404,0.23188331741643833,0.07092765176111626,0.46252063771479135
cont,Rosenbrock,5,ES_MULAMBDA,20000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,0.23270556528348404,0.23188331741643833,0.07092765176111626,0.46252063771479135
cont,Rosenbrock,5,PSO_GBEST,200,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,306.91453838589774,149.1651983607897,20.376446322527713,2346.9665520611684
cont,Rosenbrock,5,PSO_GBEST,200,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,306.91453838589774,149.1651983607897,20.376446322527713,2346.9665520611684
cont,Rosenbrock,5,PSO_GBEST,200,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,306.91453838589774,149.1651983607897,20.376446322527713,2346.9665520611684
cont,Rosenbrock,5,PSO_GBEST,300,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,49.06807171019634,35.947319166762,6.301602280517781,166.10297986933648
cont,Rosenbrock,5,PSO_GBEST,300,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,49.06807171019634,35.947319166762,6.301602280517781,166.10297986933648
cont,Rosenbrock,5,PSO_GBEST,300,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,49.06807171019634,35.947319166762,6.301602280517781,166.10297986933648
cont,Rosenbrock,5,PSO_GBEST,500,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,29.419912094065566,10.462885588526735,4.1232968117398245,125.69786380831586
cont,Rosenbrock,5,PSO_GBEST,500,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,29.419912094065566,10.462885588526735,4.1232968117398245,125.69786380831586
cont,Rosenbrock,5,PSO_GBEST,500,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,29.419912094065566,10.462885588526735,4.1232968117398245,125.69786380831586
cont,Rosenbrock,5,PSO_GBEST,800,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,8.754921649570603,4.929814285220788,1.4366397806737339,102.40476965504365
cont,Rosenbrock,5,PSO_GBEST,800,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,8.754921649570603,4.929814285220788,1.4366397806737339,102.40476965504365
