algo,rung,score,seconds,params_json,pop,b
MFO,rung1,0.09554988281277227,0.8941926956176758,"{""b"": 0.5463262129142821, ""pop"": 77}",77,0.5463262129142821
MFO,rung1,0.13204469418927306,1.015291452407837,"{""b"": 1.8434899938402358, ""pop"": 45}",45,1.8434899938402358
MFO,rung1,0.22117064380287488,1.0838863849639893,"{""b"": 0.6714290714650266, ""pop"": 37}",37,0.6714290714650266
MFO,rung1,0.1530702593093341,1.08880615234375,"{""b"": 1.9907204592531573, ""pop"": 27}",27,1.9907204592531573
MFO,rung1,0.11850078154870858,0.9607107639312744,"{""b"": 1.4972820366996857, ""pop"": 72}",72,1.4972820366996857
MFO,rung1,0.1546984885004672,1.0364975929260254,"{""b"": 1.7235492770513514, ""pop"": 34}",34,1.7235492770513514
MFO,rung1,0.12811149131462213,1.0930604934692383,"{""b"": 1.6190715916146259, ""pop"": 22}",22,1.6190715916146259
MFO,rung1,0.15365873162031035,1.0683143138885498,"{""b"": 1.7157207715109142, ""pop"": 33}",33,1.7157207715109142
MFO,rung1,0.075962771879523,1.005465030670166,"{""b"": 1.972598228052957, ""pop"": 46}",46,1.972598228052957
MFO,rung1,0.11607643045068566,1.1207704544067383,"{""b"": 1.3936431873231412, ""pop"": 20}",20,1.3936431873231412
MFO,rung1,0.14716370481504532,1.0405313968658447,"{""b"": 1.9997733765473784, ""pop"": 41}",41,1.9997733765473784
MFO,rung1,0.21809752490704482,0.9722228050231934,"{""b"": 0.8628429982008419, ""pop"": 65}",65,0.8628429982008419
MFO,rung1,0.13853153492943754,1.0217516422271729,"{""b"": 1.0149319481130101, ""pop"": 45}",45,1.0149319481130101
MFO,rung1,0.09077524305197077,1.0125758647918701,"{""b"": 0.6435945452913292, ""pop"": 62}",62,0.6435945452913292
MFO,rung1,0.1494783489659816,0.963045597076416,"{""b"": 0.948167610590908, ""pop"": 68}",68,0.948167610590908
MFO,rung1,0.20562220564744565,1.0039942264556885,"{""b"": 0.7795363273416823, ""pop"": 48}",48,0.7795363273416823
MFO,rung1,0.11694940667062237,1.1158866882324219,"{""b"": 1.2184300391266683, ""pop"": 20}",20,1.2184300391266683
MFO,rung1,0.09943781771364574,1.063978672027588,"{""b"": 1.597014304240885, ""pop"": 32}",32,1.597014304240885
MFO,rung1,0.13828376359317812,0.9942834377288818,"{""b"": 1.0530414985843177, ""pop"": 54}",54,1.0530414985843177
MFO,rung1,0.14784208951806993,1.0113344192504883,"{""b"": 1.1294851819497396, ""pop"": 58}",58,1.1294851819497396
MFO,rung1,0.1598739193179195,1.009793996810913,"{""b"": 1.2095638826278323, ""pop"": 52}",52,1.2095638826278323
MFO,rung1,0.15901361193316027,1.000577449798584,"{""b"": 1.3474548076497457, ""pop"": 52}",52,1.3474548076497457
MFO,rung1,0.17369446494707735,0.9941916465759277,"{""b"": 0.6619821936665449, ""pop"": 74}",74,0.6619821936665449
MFO,rung1,0.09878476579389023,0.9786231517791748,"{""b"": 1.957521046015258, ""pop"": 51}",51,1.957521046015258
MFO,rung1,0.11319987925549452,1.1050500869750977,"{""b"": 0.6081611430536078, ""pop"": 21}",21,0.6081611430536078
MFO,rung1,0.12328326637725517,1.1049902439117432,"{""b"": 1.3229183867640133, ""pop"": 25}",25,1.3229183867640133
MFO,rung1,0.13171557878731738,1.0417068004608154,"{""b"": 1.775740008919548, ""pop"": 35}",35,1.775740008919548
