algo,rung,score,seconds,params_json,pop,sigma0
ES_1P1,rung1,1.670127174741174,1.0388767719268799,"{""pop"": 11, ""sigma0"": 1.4063489033916448}",11,1.4063489033916448
ES_1P1,rung1,1.5627997458271443,1.0388810634613037,"{""pop"": 20, ""sigma0"": 2.363916372950672}",20,2.363916372950672
ES_1P1,rung1,1.4710399306866235,1.022836685180664,"{""pop"": 22, ""sigma0"": 0.03145957396273414}",22,0.03145957396273414
ES_1P1,rung1,1.475418594648673,1.0179376602172852,"{""pop"": 48, ""sigma0"": 1.863111816934718}",48,1.863111816934718
ES_1P1,rung1,1.7040696892627634,1.0308513641357422,"{""pop"": 26, ""sigma0"": 0.3242651738995262}",26,0.3242651738995262
ES_1P1,rung1,1.556206209626224,1.0174860954284668,"{""pop"": 51, ""sigma0"": 0.04608834224584133}",51,0.04608834224584133
ES_1P1,rung1,1.58992345409294,1.0082008838653564,"{""pop"": 51, ""sigma0"": 1.3310630515278885}",51,1.3310630515278885
ES_1P1,rung1,1.2743260744434624,1.0096874237060547,"{""pop"": 59, ""sigma0"": 0.016336592416157352}",59,0.016336592416157352
ES_1P1,rung1,1.6819249656671431,1.0242581367492676,"{""pop"": 32, ""sigma0"": 0.2752337113519633}",32,0.2752337113519633
ES_1P1,rung1,0.7713524748233545,1.0185267925262451,"{""pop"": 35, ""sigma0"": 0.0017526738635225186}",35,0.0017526738635225186
ES_1P1,rung1,1.5739047135218607,1.0122382640838623,"{""pop"": 60, ""sigma0"": 0.9813300167058421}",60,0.9813300167058421
ES_1P1,rung1,1.5484310115746531,1.1001741886138916,"{""pop"": 15, ""sigma0"": 0.030098753217680053}",15,0.030098753217680053
ES_1P1,rung1,1.6549995874842514,1.0448949337005615,"{""pop"": 20, ""sigma0"": 0.07725213066656911}",20,0.07725213066656911
ES_1P1,rung1,0.7125707741767662,1.0159378051757812,"{""pop"": 54, ""sigma0"": 0.0011712216043526626}",54,0.0011712216043526626
ES_1P1,rung1,1.4432774818700098,1.0536916255950928,"{""pop"": 17, ""sigma0"": 0.02488456759743864}",17,0.02488456759743864
ES_1P1,rung1,1.14476809409543,1.045332908630371,"{""pop"": 25, ""sigma0"": 0.011464653855701503}",25,0.011464653855701503
ES_1P1,rung1,1.2906005258297117,1.027531623840332,"{""pop"": 54, ""sigma0"": 0.014684330500572827}",54,0.014684330500572827
ES_1P1,rung1,1.5407645308033366,1.0344548225402832,"{""pop"": 29, ""sigma0"": 2.52426476519135}",29,2.52426476519135
ES_1P1,rung1,1.5791347848637811,1.051431655883789,"{""pop"": 13, ""sigma0"": 0.1040337577549869}",13,0.1040337577549869
ES_1P1,rung1,1.5302268549583151,1.0285024642944336,"{""pop"": 40, ""sigma0"": 0.03562319595090689}",40,0.03562319595090689
ES_1P1,rung1,0.744281477467458,1.039025068283081,"{""pop"": 14, ""sigma0"": 0.0033061127806430983}",14,0.0033061127806430983
ES_1P1,rung1,0.7680809569337915,1.0256304740905762,"{""pop"": 42, ""sigma0"": 0.0017284224995429023}",42,0.0017284224995429023
ES_1P1,rung1,1.5585791333055048,1.023879051208496,"{""pop"": 28, ""sigma0"": 0.9038311095155269}",28,0.9038311095155269
ES_1P1,rung1,1.509643465077329,1.0086712837219238,"{""pop"": 49, ""sigma0"": 0.052962072529259094}",49,0.052962072529259094
ES_1P1,rung1,1.4785970109551165,1.017423152923584,"{""pop"": 41, ""sigma0"": 2.3723351571205047}",41,2.3723351571205047
ES_1P1,rung1,1.2718336372122878,1.0074565410614014,"{""pop"": 49, ""sigma0"": 0.016883055978580447}",49,0.016883055978580447
ES_1P1,rung1,1.669720696107985,1.020892858505249,"{""pop"": 29, ""sigma0"": 0.22488610947943521}",29,0.22488610947943521
ES_1P1,rung1,1.6136983588796086,1.0093281269073486,"{""pop"": 45, ""sigma0"": 0.047571880997800596}",45,0.047571880997800596
ES_1P1,rung1,1.1219283714211166,1.0099925994873047,"{""pop"": 42, ""sigma0"": 0.011358067984385954}",42,0.011358067984385954
ES_1P1,rung1,1.683090755011025,1.0271329879760742,"{""pop"": 22, ""sigma0"": 0.2736631336701336}",22,0.2736631336701336
ES_1P1,rung1,0.8354473226328538,1.0304698944091797,"{""pop"": 11, ""sigma0"": 0.006349260840147412}",11,0.006349260840147412
ES_1P1,rung1,1.0307916397629822,1.0251967906951904,"{""pop"": 19, ""sigma0"": 0.007569587124596926}",19,0.007569587124596926
ES_1P1,rung1,1.3980733761282422,1.0036146640777588,"{""pop"": 47, ""sigma0"": 0.01993871431447875}",47,0.01993871431447875
ES_1P1,rung1,1.4591204446080885,1.0288970470428467,"{""pop"": 11, ""sigma0"": 0.02768817885268474}",11,0.02768817885268474
ES_1P1,rung1,1.3470348335489826,1.0429353713989258,"{""pop"": 11, ""sigma0"": 0.016326228657034703}",11,0.016326228657034703
ES_1P1,rung1,1.604966273156936,1.012852668762207,"{""pop"": 31, ""sigma0"": 0.13486332202214704}",31,0.13486332202214704
ES_1P1,rung1,0.9056170849331662,1.0232422351837158,"{""pop"": 44, ""sigma0"": 0.0065036923068236534}",44,0.0065036923068236534
ES_1P1,rung1,1.472476126182243,1.0245139598846436,"{""pop"": 20, ""sigma0"": 0.0466102858786392}",20,0.0466102858786392
ES_1P1,rung1,1.6220046365783336,1.020479679107666,"{""pop"": 29, ""sigma0"": 0.10673683718410316}",29,0.10673683718410316
ES_1P1,rung2,1.411855167951188,6.936553239822388,"{""pop"": 26, ""sigma0"": 0.3242651738995262}",26,0.3242651738995262
ES_1P1,rung2,1.4055164286701618,6.91282320022583,"{""pop"": 31, ""sigma0"": 0.23404906153173893}",31,0.23404906153173893
ES_1P1,rung2,1.427207983590473,6.930927753448486,"{""pop"": 22, ""sigma0"": 0.2736631336701336}",22,0.2736631336701336
ES_1P1,rung2,1.4391103721635896,6.9831459522247314,"{""pop"": 32, ""sigma0"": 0.2752337113519633}",32,0.2752337113519633
ES_1P1,rung2,1.4294337055272544,6.924387454986572,"{""pop"": 28, ""sigma0"": 0.8080264626013103}",28,0.8080264626013103
ES_1P1,rung2,1.4723480922002945,6.999457120895386,"{""pop"": 11, ""sigma0"": 0.890907775747297}",11,0.890907775747297
ES_1P1,rung2,1.4109045926397963,6.969619274139404,"{""pop"": 11, ""sigma0"": 1.4063489033916448}",11,1.4063489033916448
ES_1P1,rung2,1.4566486119395408,6.906819581985474,"{""pop"": 29, ""sigma0"": 0.22488610947943521}",29,0.22488610947943521
ES_1P1,rung2,1.4565365032168411,6.969580411911011,"{""pop"": 26, ""sigma0"": 0.22220866248725754}",26,0.22220866248725754
ES_1P1,rung2,1.345851734263621,6.947498083114624,"{""pop"": 20, ""sigma0"": 0.07725213066656911}",20,0.07725213066656911
