instance_id,problem,domain,budget,bounds,dim_or_n,algo_variant,algo_base,run_id,seed,best_value,best_eval,target,success
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,19,50000843,2.0,498,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,20,50000844,3.0,491,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,21,50000845,4.0,498,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,22,50000846,1.0,461,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,23,50000847,2.0,492,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,24,50000848,3.0,499,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,25,50000849,1.0,498,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,26,50000850,3.0,496,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,27,50000851,2.0,489,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,28,50000852,5.0,497,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,29,50000853,3.0,500,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,50000243,0.0,429,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,1,50000244,0.0,376,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,2,50000245,0.0,412,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,3,50000246,0.0,294,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,4,50000247,0.0,341,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,5,50000248,0.0,466,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,6,50000249,0.0,347,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,7,50000250,0.0,230,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,8,50000251,0.0,456,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,9,50000252,0.0,301,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,10,50000253,0.0,483,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,11,50000254,0.0,461,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,12,50000255,0.0,222,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,13,50000256,0.0,379,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,14,50000257,0.0,419,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,15,50000258,0.0,455,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,16,50000259,0.0,320,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,17,50000260,0.0,381,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,18,50000261,0.0,477,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,19,50000262,0.0,338,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,20,50000263,0.0,308,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,21,50000264,0.0,340,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,22,50000265,0.0,268,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,23,50000266,0.0,385,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,24,50000267,0.0,267,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,25,50000268,0.0,439,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,"SA(T0=1.0,alpha=0.995,flips=1)",SA,26,50000269,0.0,390,0.0,1
