domain,group_type,size_bin,budget,instance_id,policy_algo,baseline_algo,oracle_value,policy_value,baseline_value,policy_regret,baseline_regret
continuous,rosenbrock,d<=10,10000,cont_rosenbrock_d10_0025,DE,SA,23.337604710002843,23.337604710002843,26.65782347504878,0.0,3.3202187650459365
continuous,rosenbrock,d>10,2000,cont_rosenbrock_d20_0013,SA,SA,499.32938573740705,499.32938573740705,499.32938573740705,0.0,0.0
continuous,rosenbrock,d>10,10000,cont_rosenbrock_d20_0013,SA,SA,155.91953805996565,155.91953805996565,155.91953805996565,0.0,0.0
continuous,rosenbrock,d>10,2000,cont_rosenbrock_d20_0029,SA,SA,384.082082916497,384.082082916497,384.082082916497,0.0,0.0
continuous,rosenbrock,d>10,10000,cont_rosenbrock_d20_0029,SA,SA,188.2526805493337,188.2526805493337,188.2526805493337,0.0,0.0
continuous,rosenbrock,d<=5,2000,cont_rosenbrock_d2_0001,DE,SA,1.6623394684786212e-27,1.6623394684786212e-27,0.008170287909109083,0.0,0.008170287909109083
continuous,rosenbrock,d<=5,10000,cont_rosenbrock_d2_0001,DE,SA,0.0,0.0,0.0017972476291163227,0.0,0.0017972476291163227
continuous,rosenbrock,d<=5,2000,cont_rosenbrock_d2_0017,DE,SA,0.010309421277634543,0.07809996942711381,0.010309421277634543,0.06779054814947927,0.0
continuous,rosenbrock,d<=5,10000,cont_rosenbrock_d2_0017,DE,SA,2.2186712959340958e-32,2.2186712959340958e-32,0.0018890311535082356,0.0,0.0018890311535082356
continuous,rosenbrock,d<=5,2000,cont_rosenbrock_d5_0005,DE,SA,2.9520005020278313,2.9520005020278313,8.239534292508418,0.0,5.2875337904805875
continuous,rosenbrock,d<=5,10000,cont_rosenbrock_d5_0005,DE,SA,3.3810829872067384e-09,3.3810829872067384e-09,3.958655102127436,0.0,3.958655098746353
continuous,rosenbrock,d<=5,2000,cont_rosenbrock_d5_0021,DE,SA,2.433100055894849,2.433100055894849,44.30719335052361,0.0,41.874093294628764
continuous,rosenbrock,d<=5,10000,cont_rosenbrock_d5_0021,DE,SA,5.746843523133739e-11,5.746843523133739e-11,5.970784424416324,0.0,5.970784424358856
continuous,sphere,d<=10,2000,cont_sphere_d10_0008,SA,SA,0.36331387349505967,0.36331387349505967,0.36331387349505967,0.0,0.0
