algo,rung,score,seconds,params_json,pop,intensity_max
ALO,rung1,0.047185582012234994,6.242093324661255,"{""intensity_max"": 18035.48462843169, ""pop"": 70}",70,18035.48462843169
ALO,rung1,0.054110380823368665,6.241429567337036,"{""intensity_max"": 2910.1301410523006, ""pop"": 70}",70,2910.1301410523006
ALO,rung2,-0.2293584065811819,43.589133739471436,"{""intensity_max"": 136.3776169529448, ""pop"": 54}",54,136.3776169529448
ALO,rung2,-0.22448198837668326,47.773964166641235,"{""intensity_max"": 120.42038111490642, ""pop"": 37}",37,120.42038111490642
ALO,rung2,-0.24281612727571128,47.476067304611206,"{""intensity_max"": 151.32377799660122, ""pop"": 40}",40,151.32377799660122
ALO,rung2,-0.25827759524630556,42.49326753616333,"{""intensity_max"": 221.64165649178648, ""pop"": 71}",71,221.64165649178648
ALO,rung2,-0.24951976926387176,50.949257135391235,"{""intensity_max"": 175.05508813712723, ""pop"": 25}",25,175.05508813712723
ALO,rung2,-0.28329217526994055,39.48521280288696,"{""intensity_max"": 421.87769801786266, ""pop"": 74}",74,421.87769801786266
ALO,rung2,-0.22939333205805007,43.3697624206543,"{""intensity_max"": 124.95400062565345, ""pop"": 51}",51,124.95400062565345
ALO,rung2,-0.2846358932313374,38.96099019050598,"{""intensity_max"": 2600.5414921886036, ""pop"": 79}",79,2600.5414921886036
ALO,rung2,-0.26280996230688664,44.04201340675354,"{""intensity_max"": 247.43376555358748, ""pop"": 53}",53,247.43376555358748
ALO,rung2,-0.28251503551238366,38.54616069793701,"{""intensity_max"": 472.5347018632834, ""pop"": 78}",78,472.5347018632834
ALO,rung2,-0.31356811901914383,40.29789423942566,"{""intensity_max"": 17936.113992843457, ""pop"": 75}",75,17936.113992843457
ALO,rung2,-0.3021302660418258,38.24508452415466,"{""intensity_max"": 26615.663527326087, ""pop"": 77}",77,26615.663527326087
ALO,rung2,-0.2699906259679348,41.26060891151428,"{""intensity_max"": 138.90052035152007, ""pop"": 64}",64,138.90052035152007
ALO,rung2,-0.29887513237170116,40.37163829803467,"{""intensity_max"": 471.92139721916334, ""pop"": 67}",67,471.92139721916334
ALO,rung2,-0.32304983447028396,40.832210302352905,"{""intensity_max"": 14961.883566134567, ""pop"": 68}",68,14961.883566134567
ALO,rung2,-0.3143343039456957,41.84444713592529,"{""intensity_max"": 2910.1301410523006, ""pop"": 70}",70,2910.1301410523006
