instance_id,func,dim,budget,budget_tier,algo,seed,best,evals,meta_json
sphere_d5_i001,sphere,5,1000,200xD,ES_ML,1,0.013624295385978126,970,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,ES_ML,2,0.015521196945175876,970,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,GWO,0,0.12666521797961786,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,GWO,1,0.3203290464639675,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,GWO,2,0.4126167580328881,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,MFO,0,1.3640662072518173,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,MFO,1,3.3692836817319254,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,MFO,2,2.531860737660653,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,WOA,0,0.43792278860181444,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,WOA,1,0.11466616259725985,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,WOA,2,1.2693947293672485,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,FA,0,0.713437608079815,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,FA,1,1.093406532632343,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,FA,2,0.7384652607956779,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,BA,0,0.23284728855594122,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,BA,1,0.24705552880275364,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,BA,2,0.2378689930268749,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,ALO,0,2.925748035433999,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,ALO,1,1.419317026729873,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,ALO,2,2.353043253339204,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,PSO_STD,0,1.510013965452402e-13,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,PSO_STD,1,1.1886103973340644e-13,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,PSO_STD,2,1.8848886257849162e-15,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,PSO_CONSTR,0,1.8930746556671008e-18,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,PSO_CONSTR,1,5.143028829226057e-18,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,PSO_CONSTR,2,1.7648492336535276e-17,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,PSO_RING,0,1.844560544761489e-11,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,PSO_RING,1,3.813224638999907e-11,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,PSO_RING,2,5.181548462241861e-11,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,DE,0,2.831935379817904e-09,5000,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,DE,1,2.459789356085879e-08,5000,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,DE,2,5.64548590296626e-09,5000,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,GA,0,0.08460534924602865,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,GA,1,0.1621090783333558,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,GA,2,0.12752091534667054,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,ES_ML,0,5.027923298683391e-19,4970,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,ES_ML,1,5.08366302264134e-17,4970,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,ES_ML,2,5.736715305533096e-19,4970,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,GWO,0,0.2720836217067521,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,GWO,1,0.15192333741038452,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,GWO,2,0.4715092256463105,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,MFO,0,2.619630023422377,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,MFO,1,3.96493587529105,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,MFO,2,2.135850325390442,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,WOA,0,0.06688181556691696,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,WOA,1,0.0621615424180573,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,WOA,2,0.12688195297425464,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,FA,0,0.577855020863191,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,FA,1,0.46144990485760273,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,FA,2,0.34248975070195575,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,BA,0,0.12780977107149266,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,BA,1,0.07702348935423016,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,BA,2,0.05039528981177819,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,ALO,0,1.0727667621875392,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,ALO,1,1.3112583404575462,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,5000,1000xD,ALO,2,1.1739152809666806,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,PSO_STD,0,0.006250420506656288,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,PSO_STD,1,0.0017812688417187315,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,PSO_STD,2,0.00033334682109972607,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,PSO_CONSTR,0,0.0009435182399302864,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,PSO_CONSTR,1,0.00019412130304978197,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,PSO_CONSTR,2,0.0008886889706576531,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,PSO_RING,0,0.010774165600449245,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,PSO_RING,1,0.022477620123358247,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,PSO_RING,2,0.008322812373358487,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,DE,0,0.17024393227771245,1000,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,DE,1,0.14707021096847464,1000,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,DE,2,0.07664771483310492,1000,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,GA,0,0.15785766709017596,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,GA,1,0.23052343204475748,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,GA,2,0.1173695052151457,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,ES_ML,0,0.00029946797926991026,970,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,ES_ML,1,0.024599255052734727,970,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,ES_ML,2,0.003673608912665385,970,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,GWO,0,0.012935157731331737,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,GWO,1,0.024017124183722677,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,GWO,2,0.018993843357901385,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,MFO,0,4.725860117673198,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,MFO,1,6.090783000204776,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,MFO,2,6.808848940058791,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,WOA,0,0.5803480986009615,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,WOA,1,0.02801788531063323,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,WOA,2,0.28715330705127795,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,FA,0,2.049796593462914,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,FA,1,0.32142605483129827,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,FA,2,0.7950215134774783,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,BA,0,0.27721089637753277,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,BA,1,0.3110726419007599,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,BA,2,0.3574831584264706,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,ALO,0,4.147838288630362,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,ALO,1,5.395887255121902,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,1000,200xD,ALO,2,1.6301896164755323,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,PSO_STD,0,2.6753892216228626e-14,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,PSO_STD,1,1.3771162815739947e-14,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,PSO_STD,2,1.1789967680716157e-14,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,PSO_CONSTR,0,5.47813429211624e-18,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,PSO_CONSTR,1,3.7481372980875865e-18,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,PSO_CONSTR,2,3.464506630054259e-17,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,PSO_RING,0,4.186097130329927e-10,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,PSO_RING,1,3.202261443331017e-11,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,PSO_RING,2,5.145402734746823e-12,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,DE,0,3.3336338275180012e-09,5000,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,DE,1,7.240867533863342e-09,5000,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,DE,2,4.216420945965376e-08,5000,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,GA,0,0.13588554956956594,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,GA,1,0.050395481052316934,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,GA,2,0.1540536487667898,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,ES_ML,0,1.7295546157317957e-18,4970,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,ES_ML,1,2.763749785749694e-17,4970,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,ES_ML,2,2.234283746373877e-18,4970,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,GWO,0,0.014983904480599807,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,GWO,1,0.016498572333250625,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,GWO,2,0.009755858283791856,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,MFO,0,3.513233477256156,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,MFO,1,3.443042920694313,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,MFO,2,1.8911535827692392,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,WOA,0,0.06643042730889863,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i002,sphere,5,5000,1000xD,WOA,1,0.15766841248873048,4980,"{""shift"": true, ""rot"": true}"
