instance_id,func,dim,dim_bin,budget_tier,algo,best_median
sphere_d5_i002,sphere,5,d<=5,200xD,GA,0.22433054049284604
sphere_d5_i002,sphere,5,d<=5,200xD,ES_ML,0.004233116331902426
sphere_d5_i002,sphere,5,d<=5,200xD,GWO,0.034606671168121134
sphere_d5_i002,sphere,5,d<=5,200xD,MFO,8.272703991402047
sphere_d5_i002,sphere,5,d<=5,200xD,WOA,0.6863703520605969
sphere_d5_i002,sphere,5,d<=5,200xD,FA,1.0582590660957125
sphere_d5_i002,sphere,5,d<=5,200xD,BA,0.18987650710289905
sphere_d5_i002,sphere,5,d<=5,200xD,ALO,5.754426960464059
sphere_d5_i002,sphere,5,d<=5,1000xD,PSO_STD,2.7128404932781036e-14
sphere_d5_i002,sphere,5,d<=5,1000xD,PSO_CONSTR,1.7518698789219513e-17
sphere_d5_i002,sphere,5,d<=5,1000xD,PSO_RING,7.148703571492587e-12
sphere_d5_i002,sphere,5,d<=5,1000xD,DE,1.4556402916054635e-08
sphere_d5_i002,sphere,5,d<=5,1000xD,GA,0.0968802330636397
sphere_d5_i002,sphere,5,d<=5,1000xD,ES_ML,1.7796727227017084e-18
sphere_d5_i002,sphere,5,d<=5,1000xD,GWO,0.014605866926539906
sphere_d5_i002,sphere,5,d<=5,1000xD,MFO,2.6738259138191953
sphere_d5_i002,sphere,5,d<=5,1000xD,WOA,0.1408127265894249
sphere_d5_i002,sphere,5,d<=5,1000xD,FA,0.21470546008838365
sphere_d5_i002,sphere,5,d<=5,1000xD,BA,0.1118478250203955
sphere_d5_i002,sphere,5,d<=5,1000xD,ALO,1.9386722979623756
sphere_d5_i003,sphere,5,d<=5,200xD,PSO_STD,0.0033632556788199476
sphere_d5_i003,sphere,5,d<=5,200xD,PSO_CONSTR,0.0005271396074132382
sphere_d5_i003,sphere,5,d<=5,200xD,PSO_RING,0.019706208179604248
sphere_d5_i003,sphere,5,d<=5,200xD,DE,0.19262002705635475
sphere_d5_i003,sphere,5,d<=5,200xD,GA,0.13921072621003208
sphere_d5_i003,sphere,5,d<=5,200xD,ES_ML,0.006776551362062826
sphere_d5_i003,sphere,5,d<=5,200xD,GWO,0.2102387182446677
sphere_d5_i003,sphere,5,d<=5,200xD,MFO,7.141883430170355
sphere_d5_i003,sphere,5,d<=5,200xD,WOA,0.1788345598823508
sphere_d5_i003,sphere,5,d<=5,200xD,FA,1.7603171362590562
sphere_d5_i003,sphere,5,d<=5,200xD,BA,0.13439213025967678
sphere_d5_i003,sphere,5,d<=5,200xD,ALO,2.1067350043874407
sphere_d5_i003,sphere,5,d<=5,1000xD,PSO_STD,9.538938928402055e-15
sphere_d5_i003,sphere,5,d<=5,1000xD,PSO_CONSTR,2.0990723383596354e-17
sphere_d5_i003,sphere,5,d<=5,1000xD,PSO_RING,1.5864823931393522e-10
sphere_d5_i003,sphere,5,d<=5,1000xD,DE,2.3475802413527137e-08
sphere_d5_i003,sphere,5,d<=5,1000xD,GA,0.09824949520312071
sphere_d5_i003,sphere,5,d<=5,1000xD,ES_ML,1.1750591673566076e-17
sphere_d5_i003,sphere,5,d<=5,1000xD,GWO,0.14995942869377238
sphere_d5_i003,sphere,5,d<=5,1000xD,MFO,4.113126594118004
