domain,problem,instance_id,algo_variant,budget,target,successes,trials,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
cont,Ackley,3,BA,8000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.825710484017946,5.603874617403477,3.404171847872164,8.280147260811107
cont,Ackley,3,BA,8000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.825710484017946,5.603874617403477,3.404171847872164,8.280147260811107
cont,Ackley,3,BA,8000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.825710484017946,5.603874617403477,3.404171847872164,8.280147260811107
cont,Ackley,3,BA,10000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.741935545416562,5.6921262268660975,4.029673469006227,7.4044105240981235
cont,Ackley,3,BA,10000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.741935545416562,5.6921262268660975,4.029673469006227,7.4044105240981235
cont,Ackley,3,BA,10000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.741935545416562,5.6921262268660975,4.029673469006227,7.4044105240981235
cont,Ackley,3,ES_1P1,2000,easy,8,30,0.28125,0.16061109125637793,0.4176603337442609,1.2995070359480443,1.6462236331031161,2.0473852391234004e-08,2.5799275570298836
cont,Ackley,3,ES_1P1,2000,med,8,30,0.28125,0.16061109125637793,0.4176603337442609,1.2995070359480443,1.6462236331031161,2.0473852391234004e-08,2.5799275570298836
cont,Ackley,3,ES_1P1,2000,hard,8,30,0.28125,0.16061109125637793,0.4176603337442609,1.2995070359480443,1.6462236331031161,2.0473852391234004e-08,2.5799275570298836
cont,Ackley,3,ES_1P1,5000,easy,12,30,0.40625,0.2688262762232274,0.5504433740305475,1.2390966222808724,1.1551485027098285,1.1444178937836114e-12,3.8857582710994234
cont,Ackley,3,ES_1P1,5000,med,12,30,0.40625,0.2688262762232274,0.5504433740305475,1.2390966222808724,1.1551485027098285,1.1444178937836114e-12,3.8857582710994234
cont,Ackley,3,ES_1P1,5000,hard,12,30,0.40625,0.2688262762232274,0.5504433740305475,1.2390966222808724,1.1551485027098285,1.1444178937836114e-12,3.8857582710994234
cont,Ackley,3,ES_1P1,8000,easy,11,30,0.375,0.24077485846609245,0.5182492532388523,1.1951475770947426,1.155148502709832,1.1444178937836114e-12,3.026594276648883
cont,Ackley,3,ES_1P1,8000,med,11,30,0.375,0.24077485846609245,0.5182492532388523,1.1951475770947426,1.155148502709832,1.1444178937836114e-12,3.026594276648883
cont,Ackley,3,ES_1P1,8000,hard,11,30,0.375,0.24077485846609245,0.5182492532388523,1.1951475770947426,1.155148502709832,1.1444178937836114e-12,3.026594276648883
cont,Ackley,3,ES_1P1,10000,easy,12,30,0.40625,0.2688262762232274,0.5504433740305475,0.9898237353744259,1.1551485027098285,1.1444178937836114e-12,2.57992755702988
cont,Ackley,3,ES_1P1,10000,med,12,30,0.40625,0.2688262762232274,0.5504433740305475,0.9898237353744259,1.1551485027098285,1.1444178937836114e-12,2.57992755702988
cont,Ackley,3,ES_1P1,10000,hard,12,30,0.40625,0.2688262762232274,0.5504433740305475,0.9898237353744259,1.1551485027098285,1.1444178937836114e-12,2.57992755702988
cont,Ackley,3,FA,2000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.136108862150195,6.142807830154865,4.124774689120571,6.908502844306987
cont,Ackley,3,FA,2000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.136108862150195,6.142807830154865,4.124774689120571,6.908502844306987
cont,Ackley,3,FA,2000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,6.136108862150195,6.142807830154865,4.124774689120571,6.908502844306987
cont,Ackley,3,FA,5000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.515691904374094,5.693253218069156,3.977054030933687,6.08777219867013
cont,Ackley,3,FA,5000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.515691904374094,5.693253218069156,3.977054030933687,6.08777219867013
cont,Ackley,3,FA,5000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.515691904374094,5.693253218069156,3.977054030933687,6.08777219867013
cont,Ackley,3,FA,8000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.449099984143675,5.600276769752529,4.118249077743467,6.295909217186967
cont,Ackley,3,FA,8000,med,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.449099984143675,5.600276769752529,4.118249077743467,6.295909217186967
cont,Ackley,3,FA,8000,hard,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.449099984143675,5.600276769752529,4.118249077743467,6.295909217186967
cont,Ackley,3,FA,10000,easy,0,30,0.03125,0.0016532542666409576,0.09211405994732372,5.2862546904779455,5.410367783540684,4.32032736484927,6.073848893016947
