domain,problem,instance_id,algo_variant,budget,target,successes,trials,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
cont,Interp_Sphere_Rastrigin_lam0.00,7,PSO_GBEST,500,med,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,0.2412487956540446,0.17820003674204193,0.050570396727509646,0.7785088026027674
cont,Interp_Sphere_Rastrigin_lam0.00,7,PSO_GBEST,500,hard,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,0.2412487956540446,0.17820003674204193,0.050570396727509646,0.7785088026027674
cont,Interp_Sphere_Rastrigin_lam0.00,7,PSO_GBEST,800,easy,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,0.03178354510815547,0.0274409158590238,0.008694309658328793,0.06416024307734168
cont,Interp_Sphere_Rastrigin_lam0.00,7,PSO_GBEST,800,med,1,10,0.16666666666666666,0.033319217684229845,0.3643594892472425,0.03178354510815547,0.0274409158590238,0.008694309658328793,0.06416024307734168
cont,Interp_Sphere_Rastrigin_lam0.00,7,PSO_GBEST,800,hard,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,0.03178354510815547,0.0274409158590238,0.008694309658328793,0.06416024307734168
cont,Interp_Sphere_Rastrigin_lam0.00,7,PSO_GBEST,1000,easy,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,0.014679713996129298,0.013493382738721006,0.007208196875419424,0.024929655186124
cont,Interp_Sphere_Rastrigin_lam0.00,7,PSO_GBEST,1000,med,3,10,0.3333333333333333,0.13507547291964123,0.5643741882892295,0.014679713996129298,0.013493382738721006,0.007208196875419424,0.024929655186124
cont,Interp_Sphere_Rastrigin_lam0.00,7,PSO_GBEST,1000,hard,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,0.014679713996129298,0.013493382738721006,0.007208196875419424,0.024929655186124
cont,Interp_Sphere_Rastrigin_lam0.00,7,PSO_GBEST,2000,easy,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,0.0002539537282385516,0.00018973747065216128,5.7713274109128924e-05,0.0009664971505948327
cont,Interp_Sphere_Rastrigin_lam0.00,7,PSO_GBEST,2000,med,10,10,0.9166666666666666,0.7615958096191473,0.9953478282678027,0.0002539537282385516,0.00018973747065216128,5.7713274109128924e-05,0.0009664971505948327
