domain,problem,instance_id,lambda,algo_variant,budget,rep,seed,evals,best
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,10000,0,418744657000000,9990,2.506315192589145e-19
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,10000,1,419072338000000,9990,4.926386271864618e-19
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,10000,2,419400019000000,9990,4.8463470972328064e-20
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,10000,3,419727700000000,9990,1.6603534618541736e-17
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,10000,4,420055381000000,9990,1.4634338740182483e-17
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,10000,5,420383062000000,9990,2.0770432559391183e-18
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,10000,6,420710743000000,9990,8.802316336396843e-18
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,10000,7,421038424000000,9990,2.1290742992206034e-19
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,10000,8,421366105000000,9990,7.345717084576936e-19
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,10000,9,421693786000000,9990,1.2209575708852173e-18
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,300,0,85062143000000,300,0.03440896085188601
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,300,1,85389824000000,300,0.027402667481019057
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,300,2,85717505000000,300,0.017716973060365196
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,300,3,86045186000000,300,0.010194290817894039
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,300,4,86372867000000,300,0.01063188021821284
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,300,5,86700548000000,300,0.018518276977602634
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,300,6,87028229000000,300,0.005746451088191153
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,300,7,87355910000000,300,0.028349158943132606
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,300,8,87683591000000,300,0.008753121322334332
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,300,9,88011272000000,300,0.025282596729949314
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,500,0,86241793000000,500,0.00044484402525582685
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,500,1,86569474000000,500,0.0005155621104594061
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,500,2,86897155000000,500,0.0003247284671640517
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,500,3,87224836000000,500,0.00044379306196230177
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,500,4,87552517000000,500,0.0004805505802846722
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,500,5,87880198000000,500,0.00023926407179579022
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,500,6,88207879000000,500,0.0006495083794021782
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,ES_1P1,500,7,88535560000000,500,0.00015188846046350872
