instance_id,problem,domain,budget,target,target_name,algo_variant,algo_base,successes,trials,succ_rate,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best,mean_auc_raw,median_auc_raw,mean_auc_log,median_auc_log,mean_wall_ms
bin::knapsack01::n200::i000,knapsack01,bin,300,8880.201204819277,hard,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,12,0.0,0.07142857142857142,0.00406190600305523,0.20631147425912016,7622.166666666667,7621.5,7391.0,7891.0,7515.561111111113,7479.844999999999,8.921696061004079,8.914793960799228,5.416666666666667
bin::knapsack01::n200::i000,knapsack01,bin,300,8505.436144578314,med,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,12,0.0,0.07142857142857142,0.0038473459661512313,0.20453266149398058,7622.166666666667,7621.5,7391.0,7891.0,7515.561111111113,7479.844999999999,8.921696061004079,8.914793960799228,5.416666666666667
bin::knapsack01::n200::i000,knapsack01,bin,300,8055.718072289157,easy,"SA(T0=2.0,alpha=0.995,flips=2)",SA,3,12,0.25,0.2857142857142857,0.11240634504486834,0.49604067984141237,7934.083333333333,7975.0,7544.0,8219.0,7755.086666666667,7791.6900000000005,8.955596731838478,8.960694140979914,5.083333333333333
bin::knapsack01::n200::i000,knapsack01,bin,300,8880.201204819277,hard,"SA(T0=2.0,alpha=0.995,flips=2)",SA,0,12,0.0,0.07142857142857142,0.0038840579532953405,0.20316770712112708,7934.083333333333,7975.0,7544.0,8219.0,7755.086666666667,7791.6900000000005,8.955596731838478,8.960694140979914,5.083333333333333
bin::knapsack01::n200::i000,knapsack01,bin,300,8505.436144578314,med,"SA(T0=2.0,alpha=0.995,flips=2)",SA,0,12,0.0,0.07142857142857142,0.004090719507244852,0.2060333037711928,7934.083333333333,7975.0,7544.0,8219.0,7755.086666666667,7791.6900000000005,8.955596731838478,8.960694140979914,5.083333333333333
bin::knapsack01::n200::i000,knapsack01,bin,300,8055.718072289157,easy,TABU(tenure=12),TABU,11,12,0.9166666666666666,0.8571428571428571,0.6809099667057934,0.9718542954655208,8165.833333333333,8165.0,7961.0,8278.0,8044.014722222223,8038.238333333333,8.992386257536962,8.991610541201549,48.916666666666664
bin::knapsack01::n200::i000,knapsack01,bin,300,8880.201204819277,hard,TABU(tenure=12),TABU,0,12,0.0,0.07142857142857142,0.003994534949385711,0.21015541743022018,8165.833333333333,8165.0,7961.0,8278.0,8044.014722222223,8038.238333333333,8.992386257536962,8.991610541201549,48.916666666666664
bin::knapsack01::n200::i000,knapsack01,bin,300,8505.436144578314,med,TABU(tenure=12),TABU,0,12,0.0,0.07142857142857142,0.0038982445583560493,0.20503190930555346,8165.833333333333,8165.0,7961.0,8278.0,8044.014722222223,8038.238333333333,8.992386257536962,8.991610541201549,48.916666666666664
bin::knapsack01::n200::i000,knapsack01,bin,300,8055.718072289157,easy,TABU(tenure=7),TABU,9,12,0.75,0.7142857142857143,0.5058686880589547,0.8892048665985445,8129.0,8127.5,7844.0,8389.0,7983.839722222223,7983.243333333334,8.984296080619144,8.984812720359727,50.25
bin::knapsack01::n200::i000,knapsack01,bin,300,8880.201204819277,hard,TABU(tenure=7),TABU,0,12,0.0,0.07142857142857142,0.0038606826099221955,0.2026566208931764,8129.0,8127.5,7844.0,8389.0,7983.839722222223,7983.243333333334,8.984296080619144,8.984812720359727,50.25
