instance_id,domain,problem,budget,algo_variant,algo_base,rep,seed,best,auc_raw,auc_log,wall_ms,succ_easy,succ_med,succ_hard
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.99,flips=1)",SA,4,989821580,172.0,141.97,4.948652317466298,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.99,flips=1)",SA,5,2141492029,164.0,135.19666666666666,4.8990769516351556,16,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.99,flips=1)",SA,6,1728701086,164.0,136.99,4.911519909340567,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.99,flips=1)",SA,7,2106327850,167.0,139.91,4.932878920964164,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.99,flips=1)",SA,8,815020182,170.0,139.06333333333333,4.92512859083522,16,1,1,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.99,flips=1)",SA,9,1472190200,163.0,134.56666666666666,4.892343943533474,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.99,flips=1)",SA,10,2040324894,158.0,126.20333333333333,4.827691422914975,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.99,flips=1)",SA,11,1396850658,176.0,138.29333333333332,4.915193488882917,16,1,1,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.995,flips=2)",SA,0,1804554973,160.0,125.29333333333334,4.82058318586111,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.995,flips=2)",SA,1,1478428095,143.0,124.62666666666667,4.818954278077002,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.995,flips=2)",SA,2,1511830742,151.0,131.53333333333333,4.876398504906674,15,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.995,flips=2)",SA,3,835202397,144.0,122.45333333333333,4.802755651257736,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.995,flips=2)",SA,4,1879383516,161.0,135.18666666666667,4.899579591382935,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.995,flips=2)",SA,5,290117534,152.0,129.35333333333332,4.855957185836601,17,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.995,flips=2)",SA,6,1243185673,154.0,128.93333333333334,4.852853469000998,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.995,flips=2)",SA,7,1549384411,143.0,124.26666666666667,4.818852211814868,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.995,flips=2)",SA,8,1815655708,147.0,124.6,4.817695965455974,16,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.995,flips=2)",SA,9,1128189815,147.0,128.52666666666667,4.850771671792545,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.995,flips=2)",SA,10,806201099,148.0,130.22,4.8621800871260925,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.995,flips=2)",SA,11,666239354,161.0,131.02,4.8619618039375325,14,1,0,0
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=7),TABU,0,908297867,198.0,179.65333333333334,5.173731150253345,50,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=7),TABU,1,1043323488,198.0,182.77,5.1958441851362585,49,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=7),TABU,2,1543657888,197.0,178.58,5.166847297313049,47,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=7),TABU,3,1910160578,199.0,178.27,5.162922276579213,50,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=7),TABU,4,156652360,199.0,183.24,5.199289221994016,49,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=7),TABU,5,2005843176,197.0,182.94,5.198760503944728,50,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=7),TABU,6,1141051469,198.0,179.36,5.171527637266544,47,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=7),TABU,7,768359333,198.0,180.6,5.18062681781596,49,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=7),TABU,8,1444696807,198.0,183.68666666666667,5.201059574199913,50,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=7),TABU,9,1227350964,199.0,176.93666666666667,5.152742139776367,49,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=7),TABU,10,546762614,199.0,182.46333333333334,5.191932524054031,49,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=7),TABU,11,691209253,199.0,184.34,5.204883129548432,47,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=12),TABU,0,1545136976,197.0,181.17333333333335,5.185395948352662,50,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=12),TABU,1,1276249595,197.0,178.79666666666665,5.170007016905842,49,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=12),TABU,2,1083230752,198.0,182.29666666666665,5.1928833024897285,47,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=12),TABU,3,725658830,195.0,179.73666666666668,5.178092996379759,50,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=12),TABU,4,1633503581,196.0,180.79333333333332,5.183515596559436,49,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=12),TABU,5,840995399,198.0,179.24666666666667,5.170966001838834,50,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=12),TABU,6,704750836,196.0,182.48333333333332,5.195413607524418,49,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=12),TABU,7,1911849612,196.0,178.14,5.16461283181925,47,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=12),TABU,8,566779217,198.0,180.05,5.176392630535424,49,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=12),TABU,9,487817217,196.0,181.87333333333333,5.1912916294742635,48,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=12),TABU,10,1533673821,198.0,185.39666666666668,5.212677848302763,49,1,1,1
bin::onemax::n200::i000,bin,onemax,300,TABU(tenure=12),TABU,11,1338284201,196.0,179.16333333333333,5.173922620657052,50,1,1,1
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,104252791,126.0,119.5,4.782528151381755,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.02)",GA,1,180421576,130.0,125.66666666666667,4.83302975468988,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.02)",GA,2,809899613,128.0,122.0,4.803445010222962,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.02)",GA,3,1788089690,130.0,122.66666666666667,4.808584260464041,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.02)",GA,4,860813095,124.0,119.16666666666667,4.780178652671837,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.02)",GA,5,1690280743,124.0,121.83333333333333,4.802513602990899,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.02)",GA,6,679605935,135.0,128.33333333333334,4.85359610268888,5,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.02)",GA,7,514041964,125.0,120.5,4.791229576706514,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.02)",GA,8,1700138881,127.0,123.5,4.815959238443157,4,0,0,0
bin::onemax::n200::i000,bin,onemax,300,"GA(pop=50,pc=0.9,pm=0.02)",GA,9,1882235552,127.0,121.16666666666667,4.796757261698988,3,0,0,0
