problem,instance_id,algo_variant,budget,best,fitness_score
Rastrigin,13,MFO,300,22.908759912329053,0.414236283013644
Rastrigin,13,MFO,500,18.48839166110405,0.5432862066145734
Rastrigin,13,MFO,800,13.929848362168608,0.6763700654754543
Rastrigin,13,MFO,1000,11.006209767509274,0.7617238902779371
Rastrigin,13,MFO,1500,11.388188266326516,0.7505722636966218
Rastrigin,13,MFO,2000,10.750743709631502,0.7691820642078173
Rastrigin,13,MFO,3500,8.107453966816983,0.8463512772639471
Rastrigin,13,MFO,5000,10.09813594518713,0.7882345452131228
Rastrigin,13,MFO,8000,8.596181973422278,0.8320831646702578
Rastrigin,13,MFO,12000,11.384889754039365,0.7506685617275688
Rastrigin,13,MFO,15000,8.251667034889271,0.8421410657251626
Rastrigin,13,MFO,20000,9.371383202559706,0.8094516431069112
Rastrigin,13,PSO_GBEST,200,25.717437134208797,0.3322386845550078
Rastrigin,13,PSO_GBEST,300,19.377180631628555,0.5173385610283148
Rastrigin,13,PSO_GBEST,500,15.883003322510753,0.6193489115607146
Rastrigin,13,PSO_GBEST,800,11.89659708339433,0.735729581985102
Rastrigin,13,PSO_GBEST,1000,10.00709132046696,0.7908925368546917
Rastrigin,13,PSO_GBEST,1500,7.094130284629199,0.8759346369157377
Rastrigin,13,PSO_GBEST,2000,6.0403349805568896,0.9066995405962993
Rastrigin,13,PSO_GBEST,3500,3.6063680272355243,0.9777577039713219
Rastrigin,13,PSO_GBEST,5000,3.567913957079818,0.9788803468222571
Rastrigin,13,PSO_GBEST,8000,2.297190286884285,1.0
Rastrigin,13,PSO_GBEST,12000,3.4261037308570623,0.9830204088758666
Rastrigin,13,PSO_GBEST,15000,3.689759693309788,0.9753231357353258
Rastrigin,13,PSO_GBEST,20000,2.0763300256171453,1.0
Rastrigin,13,PSO_RING,200,29.76077854304531,0.21419582698126993
Rastrigin,13,PSO_RING,300,23.774346420666127,0.388966018994365
Rastrigin,13,PSO_RING,500,18.35967651938745,0.5470439657560673
Rastrigin,13,PSO_RING,800,14.514530287540826,0.6593006374296758
Rastrigin,13,PSO_RING,1000,10.38301851036128,0.7799175745035507
Rastrigin,13,PSO_RING,1500,7.911549765851924,0.8520705795326293
Rastrigin,13,PSO_RING,2000,6.751968689445388,0.8859238335636428
Rastrigin,13,PSO_RING,3500,3.821614603918094,0.9714737129783657
Rastrigin,13,PSO_RING,5000,2.669165684570496,1.0
Rastrigin,13,PSO_RING,8000,2.2043425816867814,1.0
Rastrigin,13,PSO_RING,12000,1.3134816803962517,1.0
Rastrigin,13,PSO_RING,15000,1.243000125896373,1.0
Rastrigin,13,PSO_RING,20000,0.7352839204981964,1.0
Rastrigin,13,WOA,200,24.326634941806898,0.372842296397467
Rastrigin,13,WOA,300,21.834842679191258,0.44558863399746695
Rastrigin,13,WOA,500,14.636458144779693,0.6557410288705607
Rastrigin,13,WOA,800,11.739544594424068,0.7403146324947131
Rastrigin,13,WOA,1000,10.926790192271111,0.7640424957728668
Rastrigin,13,WOA,1500,7.6879276292192795,0.8585990898303679
Rastrigin,13,WOA,2000,9.523919344511674,0.8049984445617839
Rastrigin,13,WOA,3500,8.350887227256475,0.8392443934306973
Rastrigin,13,WOA,5000,6.5263371296602495,0.892511007730447
Rastrigin,13,WOA,8000,4.58318409534027,0.949240161586444
Rastrigin,13,WOA,12000,5.935461400355924,0.9097612600602694
Rastrigin,13,WOA,15000,5.4084726331619635,0.9251463719513615
Rastrigin,13,WOA,20000,4.746402127236848,0.9444751118554152
Rastrigin,17,ALO,200,44.67837533888635,0.0
Rastrigin,17,ALO,300,38.99454381678676,0.0
Rastrigin,17,ALO,500,43.089180994590855,0.0
Rastrigin,17,ALO,800,37.90938369871446,0.0
Rastrigin,17,ALO,1000,37.74278185353771,0.0
Rastrigin,17,ALO,1500,32.509699380889565,0.11231616108073317
Rastrigin,17,ALO,2000,34.06010064349017,0.06743506196262217
Rastrigin,17,ALO,3500,22.37704793512451,0.4056366999867971
Rastrigin,17,ALO,5000,21.924544510785502,0.4187357934466269
Rastrigin,17,ALO,8000,18.471091030358867,0.5187065504975006
Rastrigin,17,ALO,12000,22.16638238850268,0.41173505755833684
Rastrigin,17,ALO,15000,18.207692220425717,0.5263314334109555
Rastrigin,17,ALO,20000,15.156503001039976,0.6146574230026189
Rastrigin,17,BA,200,39.46026121836279,0.0
Rastrigin,17,BA,300,37.41303372946841,0.0
Rastrigin,17,BA,500,33.51670377268534,0.08316534379827734
Rastrigin,17,BA,800,30.081261110371383,0.18261472271794543
Rastrigin,17,BA,1000,26.225970627735254,0.2942178789164034
Rastrigin,17,BA,1500,22.6822919532926,0.3968004797352519
Rastrigin,17,BA,2000,20.784237950905002,0.45174544905873837
Rastrigin,17,BA,3500,16.066038734025458,0.588328133696499
Rastrigin,17,BA,5000,17.056956407028007,0.5596429956146861
Rastrigin,17,BA,8000,15.554512806793086,0.6031358137438505
Rastrigin,17,BA,12000,16.2523051457455,0.582936083594089
Rastrigin,17,BA,15000,18.207696491134065,0.5263313097822606
Rastrigin,17,BA,20000,13.332435889570815,0.6674606158293671
Rastrigin,17,ES_1P1,200,26.544675597054876,0.2849919903271
Rastrigin,17,ES_1P1,300,18.47114109264511,0.5187051012917465
Rastrigin,17,ES_1P1,500,13.64809003643886,0.6583230426124411
Rastrigin,17,ES_1P1,800,12.603070287208132,0.6885743305060901
Rastrigin,17,ES_1P1,1000,10.811869599663616,0.7404261043257707
Rastrigin,17,ES_1P1,1500,14.526354906373511,0.632898983931417
Rastrigin,17,ES_1P1,2000,13.89621262338635,0.65114037662341
Rastrigin,17,ES_1P1,3500,14.095216621719475,0.6453795981787976
Rastrigin,17,ES_1P1,5000,14.39369757597199,0.6367391554651449
Rastrigin,17,ES_1P1,8000,12.271118834897278,0.698183678997315
Rastrigin,17,ES_1P1,12000,14.261029423849038,0.6405796402666466
Rastrigin,17,ES_1P1,15000,11.873825114455874,0.7096845589799747
Rastrigin,17,ES_1P1,20000,13.398748139547525,0.6655410052512917
Rastrigin,17,ES_MULAMBDA,200,33.744766727037316,0.0765633651322698
Rastrigin,17,ES_MULAMBDA,300,29.95020097961559,0.18640865843044396
Rastrigin,17,ES_MULAMBDA,500,25.747643090133348,0.3080645301955848
Rastrigin,17,ES_MULAMBDA,800,23.38156690276366,0.37655783089647366
Rastrigin,17,ES_MULAMBDA,1000,21.668234018082238,0.42615548337175724
Rastrigin,17,ES_MULAMBDA,1500,18.61702588117663,0.514482020588803
Rastrigin,17,ES_MULAMBDA,2000,18.954812340717204,0.5047037599945315
Rastrigin,17,ES_MULAMBDA,3500,13.721695372323675,0.6561923113913333
Rastrigin,17,ES_MULAMBDA,5000,10.661762526827285,0.744771411941811
Rastrigin,17,ES_MULAMBDA,8000,6.0104422524547365,0.8794180813556571
Rastrigin,17,ES_MULAMBDA,12000,2.4543760340421477,0.9823592774634516
Rastrigin,17,ES_MULAMBDA,15000,2.2137597636227793,0.9893246501979963
Rastrigin,17,ES_MULAMBDA,20000,1.903581286137922,0.9983037134431795
Rastrigin,17,FA,200,35.138781793163616,0.036209342038912906
Rastrigin,17,FA,300,31.369415167382392,0.14532516980882793
Rastrigin,17,FA,500,27.322014354864777,0.26248954616687314
Rastrigin,17,FA,800,24.855102077724975,0.33390185541659667
Rastrigin,17,FA,1000,23.77094381782159,0.365286127021758
Rastrigin,17,FA,1500,23.632493459304683,0.3692939954448734
Rastrigin,17,FA,2000,18.94427669660541,0.5050087463868036
Rastrigin,17,FA,3500,17.73379803507535,0.5400497477707686
Rastrigin,17,FA,5000,18.88269255915464,0.5067914873092375
Rastrigin,17,FA,8000,16.036764609757174,0.5891755626199486
Rastrigin,17,FA,12000,14.302613459864274,0.6393758633560163
Rastrigin,17,FA,15000,13.148954653158215,0.6727720405272124
Rastrigin,17,FA,20000,12.404135534347885,0.6943331044290302
Rastrigin,17,GWO,200,22.462622932243203,0.40315947036865685
Rastrigin,17,GWO,300,13.58741750336302,0.6600793943624108
Rastrigin,17,GWO,500,7.175253811065231,0.8456990537226242
Rastrigin,17,GWO,800,4.546167085493804,0.9218059976260088
Rastrigin,17,GWO,1000,5.777247267470155,0.8861686223203773
Rastrigin,17,GWO,1500,4.472115755712581,0.9239496395024119
Rastrigin,17,GWO,2000,4.862465075539812,0.9126497864021463
