algo_variant,budget,target,beta_mean
MFO,2000,med,0.040625
MFO,3500,easy,0.2869791666666667
MFO,3500,hard,0.03229166666666667
MFO,3500,med,0.04739583333333333
MFO,5000,easy,0.32135416666666666
MFO,5000,hard,0.0359375
MFO,5000,med,0.058333333333333334
MFO,8000,easy,0.35104166666666664
MFO,8000,hard,0.03802083333333333
MFO,8000,med,0.0765625
MFO,12000,easy,0.3807291666666667
MFO,12000,hard,0.04791666666666667
MFO,12000,med,0.096875
MFO,15000,easy,0.3703125
MFO,15000,hard,0.05572916666666667
MFO,15000,med,0.1109375
MFO,20000,easy,0.403125
MFO,20000,hard,0.06354166666666666
MFO,20000,med,0.12760416666666666
PSO_GBEST,200,easy,0.045698924731182776
PSO_GBEST,200,hard,0.0161290322580645
PSO_GBEST,200,med,0.0161290322580645
PSO_GBEST,300,easy,0.12526881720430105
PSO_GBEST,300,hard,0.0161290322580645
PSO_GBEST,300,med,0.0172043010752688
PSO_GBEST,500,easy,0.28763440860215056
PSO_GBEST,500,hard,0.0161290322580645
PSO_GBEST,500,med,0.0193548387096774
PSO_GBEST,800,easy,0.4112903225806452
PSO_GBEST,800,hard,0.01666666666666665
PSO_GBEST,800,med,0.10053763440860213
PSO_GBEST,1000,easy,0.45
PSO_GBEST,1000,hard,0.032258064516129004
PSO_GBEST,1000,med,0.20806451612903223
PSO_GBEST,1500,easy,0.5897849462365592
PSO_GBEST,1500,hard,0.21559139784946238
PSO_GBEST,1500,med,0.260752688172043
PSO_GBEST,2000,easy,0.5919354838709677
PSO_GBEST,2000,hard,0.21505376344086022
PSO_GBEST,2000,med,0.41236559139784945
PSO_GBEST,3500,easy,0.6075268817204301
PSO_GBEST,3500,hard,0.3978494623655914
PSO_GBEST,3500,med,0.44731182795698926
PSO_GBEST,5000,easy,0.6268817204301076
PSO_GBEST,5000,hard,0.40967741935483876
PSO_GBEST,5000,med,0.4591397849462366
PSO_GBEST,8000,easy,0.64247311827957
PSO_GBEST,8000,hard,0.42741935483870974
PSO_GBEST,8000,med,0.4698924731182796
PSO_GBEST,12000,easy,0.6913978494623656
PSO_GBEST,12000,hard,0.42311827956989245
PSO_GBEST,12000,med,0.4661290322580645
PSO_GBEST,15000,easy,0.7709677419354839
PSO_GBEST,15000,hard,0.4440860215053764
PSO_GBEST,15000,med,0.478494623655914
PSO_GBEST,20000,easy,0.7940860215053764
PSO_GBEST,20000,hard,0.4526881720430108
PSO_GBEST,20000,med,0.5134408602150538
PSO_RING,200,easy,0.0421875
PSO_RING,200,hard,0.03125
PSO_RING,200,med,0.03125
PSO_RING,300,easy,0.06770833333333333
PSO_RING,300,hard,0.03125
PSO_RING,300,med,0.03125
PSO_RING,500,easy,0.15677083333333333
PSO_RING,500,hard,0.03125
PSO_RING,500,med,0.03125
PSO_RING,800,easy,0.3203125
PSO_RING,800,hard,0.03125
PSO_RING,800,med,0.034375
PSO_RING,1000,easy,0.40208333333333335
PSO_RING,1000,hard,0.03125
PSO_RING,1000,med,0.0484375
PSO_RING,1500,easy,0.44947916666666665
PSO_RING,1500,hard,0.05260416666666667
PSO_RING,1500,med,0.2203125
PSO_RING,2000,easy,0.559375
PSO_RING,2000,hard,0.1859375
PSO_RING,2000,med,0.27760416666666665
PSO_RING,3500,easy,0.6192708333333333
PSO_RING,3500,hard,0.26458333333333334
PSO_RING,3500,med,0.5171875
PSO_RING,5000,easy,0.6307291666666667
PSO_RING,5000,hard,0.43645833333333334
PSO_RING,5000,med,0.540625
PSO_RING,8000,easy,0.6390625
PSO_RING,8000,hard,0.440625
PSO_RING,8000,med,0.5473958333333333
PSO_RING,12000,easy,0.6682291666666667
PSO_RING,12000,hard,0.46875
PSO_RING,12000,med,0.5807291666666666
PSO_RING,15000,easy,0.6864583333333333
PSO_RING,15000,hard,0.4864583333333333
PSO_RING,15000,med,0.5958333333333333
PSO_RING,20000,easy,0.71875
PSO_RING,20000,hard,0.5239583333333333
PSO_RING,20000,med,0.6359375
WOA,200,easy,0.06614583333333333
WOA,200,hard,0.03125
WOA,200,med,0.03125
WOA,300,easy,0.1859375
WOA,300,hard,0.03125
WOA,300,med,0.03177083333333333
WOA,500,easy,0.3458333333333333
WOA,500,hard,0.03125
WOA,500,med,0.05364583333333333
WOA,800,easy,0.39895833333333336
WOA,800,hard,0.041666666666666664
WOA,800,med,0.15885416666666666
WOA,1000,easy,0.43020833333333336
WOA,1000,hard,0.05677083333333333
WOA,1000,med,0.1890625
WOA,1500,easy,0.49114583333333334
WOA,1500,hard,0.12552083333333333
WOA,1500,med,0.22447916666666667
WOA,2000,easy,0.528125
WOA,2000,hard,0.1703125
WOA,2000,med,0.2546875
WOA,3500,easy,0.5546875
WOA,3500,hard,0.21041666666666667
WOA,3500,med,0.29375
WOA,5000,easy,0.5723958333333333
WOA,5000,hard,0.2203125
WOA,5000,med,0.3463541666666667
WOA,8000,easy,0.5942708333333333
WOA,8000,hard,0.25104166666666666
WOA,8000,med,0.37916666666666665
WOA,12000,easy,0.6083333333333333
WOA,12000,hard,0.3078125
WOA,12000,med,0.4114583333333333
WOA,15000,easy,0.6203125
WOA,15000,hard,0.32864583333333336
WOA,15000,med,0.421875
WOA,20000,easy,0.6453125
WOA,20000,hard,0.3411458333333333
WOA,20000,med,0.42291666666666666
