domain,budget,target,algo_variant,n_instances,mean_metric,median_metric,std_metric,mean_p05,mean_p95,rank
bin,5000,0.0,"UMDA(pop=50,elite=0.2)",60,0.384375,0.03125,0.4512921361612863,0.33931280206523995,0.43700182099247287,4
bin,5000,0.0,"UMDA(pop=100,elite=0.2)",60,0.36041666666666666,0.03125,0.42081795015795276,0.30742076477593966,0.4226939645290992,5
bin,5000,0.0,HC(flips=2),60,0.15260416666666668,0.03125,0.20220347242815995,0.09041953535991966,0.2380731026137881,6
bin,5000,0.0,"SA(T0=2.0,alpha=0.995,flips=2)",60,0.15208333333333332,0.03125,0.19818317619738468,0.090089634974871,0.2380496984340331,7
bin,5000,0.0,"GA(pop=50,pc=0.9,pm=0.02)",60,0.13958333333333334,0.03125,0.30064740055965367,0.10591541094627921,0.19752266784290795,8
bin,5000,0.0,"GA(pop=100,pc=0.9,pm=0.02)",60,0.13177083333333334,0.03125,0.2790991003592231,0.09403452043655781,0.19376763695558671,9
bin,5000,0.0,TABU(tenure=7),60,0.06302083333333333,0.03125,0.08922550810112517,0.022124891153529898,0.1330959410725736,10
bin,5000,0.0,TABU(tenure=12),60,0.042708333333333334,0.03125,0.03450556227166304,0.007154253328614638,0.10825652594011421,11
bin,5000,0.0,"GA(pop=50,pc=0.9,pm=0.05)",60,0.03125,0.03125,0.0,0.001669542827817805,0.09239779279799401,12
cont,500,0.01,HC_CONT(sigma=0.2),17,0.13419117647058823,0.03125,0.1553743847889008,0.0714267647715402,0.22204106446501884,1
cont,500,0.01,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",17,0.042279411764705885,0.03125,0.024559538999792994,0.006121618052869006,0.11001065434115495,2
cont,500,0.01,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",17,0.03676470588235294,0.03125,0.012279769499896497,0.003369186356667094,0.10226440186216336,3
cont,500,0.01,"DE(pop=20,F=0.8,CR=0.9)",17,0.03125,0.03125,0.0,0.001701236098050441,0.09107697730182898,4
cont,500,0.01,"DE(pop=40,F=0.8,CR=0.9)",17,0.03125,0.03125,0.0,0.001561874134449706,0.09149576346970456,5
cont,500,0.01,"ES_ML(mu=10,lam=40,sigma=0.3)",17,0.03125,0.03125,0.0,0.001598948858947241,0.09116586168116092,6
cont,500,0.01,"ES_ML(mu=20,lam=80,sigma=0.2)",17,0.03125,0.03125,0.0,0.0016908253406137058,0.09232940019820642,7
cont,500,0.01,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",17,0.03125,0.03125,0.0,0.0015514079821131645,0.09231528159262592,8
cont,500,0.01,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",17,0.03125,0.03125,0.0,0.0016537265165171588,0.09161779055597316,9
cont,500,0.01,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",17,0.03125,0.03125,0.0,0.0016779175965701057,0.09168570780804396,10
cont,500,0.01,RS_CONT,17,0.03125,0.03125,0.0,0.0016765416737485413,0.09219306446232615,11
