algo,rung,score,seconds,params_json,pop,fmax,A0,r0,local_step
BA,rung1,0.0025892370751727234,1.3778812885284424,"{""A0"": 0.4274461563453198, ""fmax"": 2.3643458310206733, ""local_step"": 0.00021671342194868888, ""pop"": 68, ""r0"": 0.2865197758252953}",68,2.3643458310206733,0.4274461563453198,0.2865197758252953,0.00021671342194868888
BA,rung1,-0.11333919063618941,1.2742292881011963,"{""A0"": 0.32445427576549174, ""fmax"": 2.5099566101529884, ""local_step"": 1.0175516923272677e-05, ""pop"": 35, ""r0"": 0.7508294369313553}",35,2.5099566101529884,0.32445427576549174,0.7508294369313553,1.0175516923272677e-05
BA,rung1,0.018076839604216355,1.3770036697387695,"{""A0"": 0.7895065017212246, ""fmax"": 1.5029027802444146, ""local_step"": 6.047651954791048e-05, ""pop"": 63, ""r0"": 0.2512320949094013}",63,1.5029027802444146,0.7895065017212246,0.2512320949094013,6.047651954791048e-05
BA,rung1,0.12285204514739628,1.418114423751831,"{""A0"": 0.5856889754756116, ""fmax"": 0.5053475645560785, ""local_step"": 1.9819121583188515e-05, ""pop"": 39, ""r0"": 0.38729379150774845}",39,0.5053475645560785,0.5856889754756116,0.38729379150774845,1.9819121583188515e-05
BA,rung1,0.024868222796893436,1.289153814315796,"{""A0"": 0.5037559168532522, ""fmax"": 2.300502574264341, ""local_step"": 0.00033304263900124897, ""pop"": 68, ""r0"": 0.5657706298246715}",68,2.300502574264341,0.5037559168532522,0.5657706298246715,0.00033304263900124897
BA,rung1,0.02659620964576931,1.1958162784576416,"{""A0"": 0.38875407022780595, ""fmax"": 0.8458198408320295, ""local_step"": 0.0003944210969378289, ""pop"": 74, ""r0"": 0.799921859860815}",74,0.8458198408320295,0.38875407022780595,0.799921859860815,0.0003944210969378289
BA,rung1,0.006852305373089895,1.368807315826416,"{""A0"": 0.6989775013727355, ""fmax"": 1.6792298964455665, ""local_step"": 1.6286615986937544e-05, ""pop"": 76, ""r0"": 0.2983470369390977}",76,1.6792298964455665,0.6989775013727355,0.2983470369390977,1.6286615986937544e-05
BA,rung1,-0.04977884691737061,1.2183141708374023,"{""A0"": 0.793443053123608, ""fmax"": 4.738636953270313, ""local_step"": 1.993224473619244e-05, ""pop"": 75, ""r0"": 0.8453366947182047}",75,4.738636953270313,0.793443053123608,0.8453366947182047,1.993224473619244e-05
BA,rung1,-0.07795192821351987,1.2628250122070312,"{""A0"": 0.4891956837638264, ""fmax"": 3.9059869292629696, ""local_step"": 0.00015392939495548354, ""pop"": 48, ""r0"": 0.7192869577140065}",48,3.9059869292629696,0.4891956837638264,0.7192869577140065,0.00015392939495548354
BA,rung2,0.5050344388558323,10.05411410331726,"{""A0"": 0.7758396086079669, ""fmax"": 4.906879683232751, ""local_step"": 0.09323576035166016, ""pop"": 40, ""r0"": 0.2624675283484574}",40,4.906879683232751,0.7758396086079669,0.2624675283484574,0.09323576035166016
