instance_id,problem,domain,target,budget,algo,run_idx,best,success,evals
sphere_d20_i000,sphere,cont,0.001,2000,DE,2,52.471280307299466,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,3,45.86124019354371,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,4,32.117899800829306,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,5,19.462558063929013,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,6,26.635859899211802,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,7,51.01079805785456,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,8,21.05227498493037,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,9,50.56941068373229,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,10,40.854488598630034,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,11,26.748525311994197,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,12,26.349429384821285,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,13,55.791138527793755,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,14,25.0062980215952,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,15,29.25860236740851,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,16,28.79957059558958,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,17,43.478973146390075,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,18,56.08384326577974,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,19,56.37260440146945,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,20,32.77231181494259,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,21,24.91360828928786,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,22,21.591901505738562,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,23,31.66325952841031,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,24,45.25464627254318,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,25,29.971586071944813,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,26,32.811603608693716,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,27,38.09565955851291,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,28,44.672685108565986,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,29,33.19056746422408,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,0,24.46153732355192,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,1,22.281277653972644,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,2,30.503542351181867,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,3,24.631631338572305,0,2000
rastrigin_d5_i001,rastrigin,cont,5.0,2000,RS_CONT,4,28.24929728721915,0,2000
