instance_id,problem,domain,algo,budget,target,successes,trials,succ_rate,beta_mean,beta_p04,beta_p95,mean_best,median_best
rastrigin_d5_i001,rastrigin,cont,PSO_STD,2000,5.0,23,30,0.7666666666666667,0.75,0.6260144928260626,0.8739855071739374,4.908615917743833,4.666462557693162
rastrigin_d5_i001,rastrigin,cont,RS_CONT,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,22.528783558797155,22.301875349500563
rastrigin_d5_i015,rastrigin,cont,DE,2000,5.0,1,30,0.03333333333333333,0.0625,0.0,0.13181000556642797,14.563802366745799,15.690003957353685
rastrigin_d5_i015,rastrigin,cont,PSO_RING,2000,5.0,17,30,0.5666666666666667,0.5625,0.4204567570744854,0.7045432429255146,5.726395730962749,4.766423741888577
rastrigin_d5_i015,rastrigin,cont,PSO_STD,2000,5.0,23,30,0.7666666666666667,0.75,0.6260144928260626,0.8739855071739374,4.822250611632184,4.643358357181004
rastrigin_d5_i015,rastrigin,cont,RS_CONT,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,22.027653486713632,21.57927378849937
rastrigin_d5_i019,rastrigin,cont,DE,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,14.628316712466148,15.338418550649497
rastrigin_d5_i019,rastrigin,cont,PSO_RING,2000,5.0,17,30,0.5666666666666667,0.5625,0.4204567570744854,0.7045432429255146,5.534054687088818,4.95554314442753
rastrigin_d5_i019,rastrigin,cont,PSO_STD,2000,5.0,20,30,0.6666666666666666,0.65625,0.5202539487494936,0.7922460512505064,5.0236327583023295,4.810877626469818
rastrigin_d5_i019,rastrigin,cont,RS_CONT,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,23.580174893986552,25.439119276904233
sphere_d10_i004,sphere,cont,DE,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,3.3908049713500987,3.144446429780515
sphere_d10_i004,sphere,cont,PSO_RING,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,0.1075256546490856,0.10385813057167911
sphere_d10_i004,sphere,cont,PSO_STD,2000,0.001,3,30,0.1,0.125,0.030304504716323594,0.2196954952836764,0.0033595556600441016,0.003149625517259352
sphere_d10_i004,sphere,cont,RS_CONT,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,17.663895700973555,17.79029988921377
sphere_d10_i008,sphere,cont,DE,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,2.8124654865246725,2.415517117823292
sphere_d10_i008,sphere,cont,PSO_RING,2000,0.001,0,30,0.0,0.03125,0.0,0.08106970544208494,0.12530773842728468,0.12882631811917644
sphere_d10_i008,sphere,cont,PSO_STD,2000,0.001,1,30,0.03333333333333333,0.0625,0.0,0.13181000556642797,0.004022269002069623,0.003892301452284091
