domain,problem,instance_id,n,budget,algo,seed,final_best,improve_rel,auc_progress,p10_progress,p50_progress,p90_progress,stagnation_frac,div_mean,div_decay,step_mean,step_decay,step_burst
cont,sphere,sphere_d10_i002,10,5000,GWO,2,0.03811606222987051,0.3752592645141855,0.7499999999987972,0.0,0.9999999999983963,0.9999999999983963,0.5,0.018449812436983418,0.025581341140396226,0.08789663038475842,0.0,1.3359167300742145
cont,sphere,sphere_d10_i002,10,5000,WOA,0,0.03937916893534003,0.5332086095452794,0.7499999999993683,0.0,0.9999999999991577,0.9999999999991577,0.5,0.05437180672258638,0.014686491881492429,0.21997720295916434,0.0,1.3747765709261621
cont,sphere,sphere_d10_i002,10,5000,WOA,1,0.010820157700991413,0.2270961285758736,0.7499999999974749,0.0,0.9999999999966331,0.9999999999966331,0.5,0.06215373329985716,0.010602645402453922,0.24041824966457345,0.0,1.3753478209321417
cont,sphere,sphere_d10_i002,10,5000,WOA,2,0.001884205147860845,0.17564028160453293,0.7499999999964865,0.0,0.9999999999953153,0.9999999999953153,0.5,0.06505239303617269,0.018512326870618392,0.23303399771468725,0.0,1.3693561209758027
cont,sphere,sphere_d10_i002,10,5000,SA,0,3.6386473248352034,0.6637094972317685,0.9168518473398871,0.749430955830889,0.9999999999998908,0.9999999999998908,0.8979591836734694,0.0,0.0,0.5392192578233277,0.0,0.25811991591534433
cont,sphere,sphere_d10_i002,10,5000,SA,1,3.163334395661183,0.7835659671638805,0.8901069925219265,0.8255239187857184,0.9999999999999336,0.9999999999999336,0.8979591836734694,0.0,0.0,0.536049662093962,0.0,0.27304457436960916
cont,sphere,sphere_d10_i002,10,5000,SA,2,5.011936537926128,0.46913710177996826,0.9172136520052051,0.703265962097212,0.966119367808174,0.9999999999998118,0.8979591836734694,0.0,0.0,0.5290098779633655,0.0,0.2858649975783528
cont,sphere,sphere_d10_i002,10,5000,HC,0,5.74513156937325,0.6328051297444093,0.9653552734823587,0.9260577553998962,0.999999999999914,0.999999999999914,0.9387755102040817,0.0,0.0,0.6537367397580134,0.0,0.26847389495159724
cont,sphere,sphere_d10_i002,10,5000,HC,1,4.164655206330304,0.01911948711187816,0.9897959183575148,0.9999999999900665,0.9999999999900665,0.9999999999900665,0.9795918367346939,0.0,0.0,0.6201642268874514,0.0,0.2757196174207884
cont,sphere,sphere_d10_i002,10,5000,HC,2,5.319954751636472,0.7808144072759086,0.9283569230113337,0.8421622412656824,0.9999999999999557,0.9999999999999557,0.9183673469387755,0.0,0.0,0.6231436831505625,0.0,0.3060475035500632
cont,sphere,sphere_d10_i003,10,5000,PSO,0,0.4581105937771578,0.0031039307589988472,0.7499999998348005,0.0,0.999999999779734,0.999999999779734,0.5,0.002435667176630722,0.0024513135043342633,0.008802824413130749,0.0,1.408415501614733
cont,sphere,sphere_d10_i003,10,5000,PSO,1,9.263492441524136,0.002308424178990862,0.7499999999684175,0.0,0.99999999995789,0.99999999995789,0.5,0.001576663766085695,0.006858510719754363,0.005361872645806874,0.0,1.4019542333724357
cont,sphere,sphere_d10_i003,10,5000,PSO,2,8.870173503174316,1.1860054688884389e-05,0.749999993593149,0.0,0.9999999914575319,0.9999999914575319,0.5,0.0010566783872380686,0.0033034919282376933,0.004036756787834671,0.0,1.4054941822131768
cont,sphere,sphere_d10_i003,10,5000,DE,0,0.03762367935077977,0.5221217581550917,0.7499999999993383,0.0,0.9999999999991178,0.9999999999991178,0.5,0.019984267469566806,0.19129532619002593,0.09937616645452291,0.0,1.111603589684273
