domain,problem,instance_id,n,budget,algo,seed,final_best,auc_best,early_gain,stagnation_frac,div_mean,div_decay,step_mean,step_decay
cont,sphere,sphere_d5_i003,5,2500,GWO,1,0.021042541370105274,0.9316876623524188,0.0,0.33333333333333337,0.5192576130183352,0.2343823069630741,1.6898627040524925,0.21627443701105276
cont,sphere,sphere_d5_i003,5,2500,GWO,2,0.5237505755679238,1.4878865570695334,0.0,0.33333333333333337,0.4977759112891603,0.18216802475071853,1.6101876463377502,0.2165520241185898
cont,sphere,sphere_d5_i003,5,2500,WOA,0,0.002704615657862393,0.2627749515124937,0.0,0.0,1.3018411377617798,0.12190520511902868,3.5166271965500906,0.15762639706897064
cont,sphere,sphere_d5_i003,5,2500,WOA,1,0.0005568298492477087,0.18547548710868367,0.0,0.0,1.0964821166630918,0.17983913833719684,3.185852377172951,0.19734457854257387
cont,sphere,sphere_d5_i003,5,2500,WOA,2,0.00348033075500217,0.2367977914333566,0.0,0.0,1.3982661648722279,0.1108919118287878,3.601951702437818,0.1466903797818299
cont,sphere,sphere_d5_i004,5,2500,PSO,0,5.781456212408939e-07,0.18013040915900877,0.0,0.0,0.20124306566518615,0.039168141561711015,0.4328058303223117,0.008051583010853671
cont,sphere,sphere_d5_i004,5,2500,PSO,1,2.7368181776411273e-06,0.174916343894331,0.0,0.0,0.15588614277662277,0.02361569700894334,0.4868649584145556,0.01206825130006432
cont,sphere,sphere_d5_i004,5,2500,PSO,2,3.139686435283303e-06,0.1690343723304049,0.0,0.0,0.23456648843701777,0.05073785555619056,0.6117348612538669,0.04401928031379025
cont,sphere,sphere_d5_i004,5,2500,DE,0,0.0015433699924795226,0.18329836282966072,0.0,0.0,0.33400369275952907,0.04843831503611812,1.2694567526121214,0.0495935043522824
cont,sphere,sphere_d5_i004,5,2500,DE,1,0.0016047473515474404,0.2825205155312768,0.0,0.0,0.30117006242953404,0.047027976237073846,1.2597236352156518,0.043095165293794854
cont,sphere,sphere_d5_i004,5,2500,DE,2,0.002860337942842477,0.2702044295441354,0.0,0.0,0.3235541394500272,0.04998866545010021,1.272544977080953,0.05257640563123187
cont,sphere,sphere_d5_i004,5,2500,ES,0,2.910365325189493,0.0,0.0,1.0,1.366824732032544,0.9999999999992684,5.372252853867532,0.9999999999998138
cont,sphere,sphere_d5_i004,5,2500,ES,1,3.309325868539547,0.0,0.0,1.0,1.4972017924189824,0.999999999999332,5.425496731639579,0.9999999999998157
cont,sphere,sphere_d5_i004,5,2500,ES,2,5.630267930111995,0.0,0.0,1.0,1.4013656707117081,0.9999999999992863,4.6808992389957655,0.9999999999997864
cont,sphere,sphere_d5_i004,5,2500,GWO,0,0.10700199555037107,0.2879538185065454,0.0,0.0,0.44882783473544574,0.26015654935381893,1.619158829627557,0.271679609501334
cont,sphere,sphere_d5_i004,5,2500,GWO,1,0.03197676132668417,0.47471759008088826,0.0,0.0,0.46051326920212515,0.2598302853029904,1.701780180479882,0.21877109158047672
cont,sphere,sphere_d5_i004,5,2500,GWO,2,0.03550882041896024,0.6876590651592566,0.0,0.33333333333333337,0.4431750730247341,0.21260816978366817,1.598389692717317,0.21026848348802812
cont,sphere,sphere_d5_i004,5,2500,WOA,0,0.009506827539985217,0.2893024861486208,0.0,0.0,1.1786674145684508,0.14511590156476262,2.9462920450118313,0.1500215601812552
cont,sphere,sphere_d5_i004,5,2500,WOA,1,0.006765858885318344,0.2512964158489476,0.0,0.0,1.4081130221573228,0.13623231447462988,3.4162843765391178,0.1541124784344677
cont,sphere,sphere_d5_i004,5,2500,WOA,2,0.0018438378153299282,0.20423905206501106,0.0,0.0,1.3974686542047894,0.13080208786137829,3.5051318469932773,0.1463645393939574
