algo,rung,score,seconds,params_json,pop,a0,spiral_b
WOA,rung1,0.19663746597267484,3.349062442779541,"{""a0"": 2.261122200932731, ""pop"": 75, ""spiral_b"": 1.4082645870311996}",75,2.261122200932731,1.4082645870311996
WOA,rung1,0.15687730428776359,3.1823885440826416,"{""a0"": 2.671882758392865, ""pop"": 76, ""spiral_b"": 1.282881698783663}",76,2.671882758392865,1.282881698783663
WOA,rung1,0.17953871361650087,3.3429341316223145,"{""a0"": 1.6466018840165701, ""pop"": 70, ""spiral_b"": 1.3117756120822992}",70,1.6466018840165701,1.3117756120822992
WOA,rung1,0.20134584100037128,3.365267276763916,"{""a0"": 2.920982023136942, ""pop"": 70, ""spiral_b"": 1.4837160941930432}",70,2.920982023136942,1.4837160941930432
WOA,rung1,0.21238162523183768,3.445672035217285,"{""a0"": 2.376444348496287, ""pop"": 58, ""spiral_b"": 0.8889768080108935}",58,2.376444348496287,0.8889768080108935
WOA,rung1,0.2760982595239886,3.5166778564453125,"{""a0"": 2.019529312400338, ""pop"": 34, ""spiral_b"": 1.5142689380900602}",34,2.019529312400338,1.5142689380900602
WOA,rung1,0.1693765554516828,3.0511415004730225,"{""a0"": 2.1066057497896757, ""pop"": 79, ""spiral_b"": 1.0749390849207132}",79,2.1066057497896757,1.0749390849207132
WOA,rung1,0.2353373385867017,3.392120122909546,"{""a0"": 1.7628223457976004, ""pop"": 52, ""spiral_b"": 1.592577441400087}",52,1.7628223457976004,1.592577441400087
WOA,rung2,0.09635883221141628,24.44699001312256,"{""a0"": 1.6309581608012333, ""pop"": 22, ""spiral_b"": 0.8112868498585916}",22,1.6309581608012333,0.8112868498585916
WOA,rung2,0.058460181583615156,23.74603796005249,"{""a0"": 1.5745594561187326, ""pop"": 37, ""spiral_b"": 0.8774748298432592}",37,1.5745594561187326,0.8774748298432592
WOA,rung2,0.0638297912130773,24.34960103034973,"{""a0"": 1.709864448783582, ""pop"": 24, ""spiral_b"": 1.34035709698218}",24,1.709864448783582,1.34035709698218
WOA,rung2,0.06689365867997893,24.09702181816101,"{""a0"": 1.6730082470604295, ""pop"": 30, ""spiral_b"": 0.5324124010894387}",30,1.6730082470604295,0.5324124010894387
WOA,rung2,0.03543158008660502,23.548800945281982,"{""a0"": 1.6792448693147617, ""pop"": 35, ""spiral_b"": 1.5277399308690964}",35,1.6792448693147617,1.5277399308690964
WOA,rung2,0.02033678640721187,24.481288194656372,"{""a0"": 2.187969118618855, ""pop"": 27, ""spiral_b"": 1.6119851576595239}",27,2.187969118618855,1.6119851576595239
WOA,rung2,-0.013430236811075968,24.243944883346558,"{""a0"": 2.9283054309557883, ""pop"": 30, ""spiral_b"": 1.5518058753192858}",30,2.9283054309557883,1.5518058753192858
